CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1800569200000;CRISÁLIDA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;480000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800566100000;CRUA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;46667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800485700000;ESTANTE DE LIVROS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;52326;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800449500000;EU, UM OUTRO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;450000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800335300000;FRANS KRAJCBERG: MANIFESTO;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;105000|100000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800452000000;FRONTEIRAS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;30000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900248400000;HUNT;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;211550;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800255500000;ILHA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;530760;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800168300000;INFERNINHO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;85600;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800190900000;JOVENS DE CORAÇÃO - EPISÓDIO PILOTO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;54000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800444000000;JUVENAL E OLIVER;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;79138;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800287700000;LUNA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;450000|190000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800610400000;MIRANTE;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;150000|99370;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900112800000;NA ASA DO VENTO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;174814;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800348000000;NA CONTRAMÃO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;283332;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900027900000;NADIR;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33330;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800440700000;O BARCO;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;586667|100000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800311700000;O BEIJO DE ALICE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;183000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800445800000;O BEM-AVENTURADO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;182550;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800378500000;O DESPERTAR DE SOLOMON;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;172140;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800189500000;OFF-GRID - (DES)REGRADOS (EPISÓDIO PILOTO);FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;30000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800235200000;ONDE QUER QUE VOCÊ ESTEJA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;150000|100000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800595000000;PEDRINHO E A CHUTEIRA DA SORTE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;354824;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900427100000;QUANDO AS COISAS SE DESMANCHAM;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
