cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
14.372.650/0001-72,LIBERATO PRODUÇÕES CULTURAIS LTDA,2,2.21823663,2.21823663,1017.0,1017.0,0.010216,735.4003346960944,50.0,0.0,0.0,3.2,BA,0.0,Produção para TV/VoD
13.041.064/0001-82,CINE & TEATRO PRODUÇÕES LTDA ME,1,2.193462,2.193462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RJ,,Emergentes / micro
28.448.655/0001-46,JULIA GUGGISBERG HANNUD ME,1,2.1932755557299997,2.1932755557299997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,SP,,Emergentes / micro
05.246.567/0001-66,WILLIAM CUBITS CAPELA,1,1.3023550392398,2.1769490392398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PE,,Emergentes / micro
22.327.940/0001-22,ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME,2,2.1544231879781104,2.1544231879781104,531.0,265.5,0.00755876,294.6197806437394,100.0,0.0,0.0,4.024,BA,4.0,Campeãs de público
20.374.049/0001-11,PONTILHADO CINEMATOGRÁFICO E PRODUÇÕES CULTURAIS E ARTÍSTICAS LTDA ME,1,2.1347320549499997,2.1347320549499997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PE,,Emergentes / micro
06.015.397/0001-71,ARTERIA PRODUCOES ARTISTICAS EIRELI,1,2.1025239759999996,2.1294783452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RJ,,Emergentes / micro
12.743.129/0001-79,ANDRE NASCIMENTO ARAUJO,2,2.1167361,2.1167361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,TO,2.0,Baixo retorno / nicho
26.324.984/0001-50,CÉU VERMELHO FOGO FILMES LTDA,3,2.1063895219999997,2.1063895219999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,AL,2.0,Baixo retorno / nicho
00.205.194/0001-61,HECO PRODUÇÕES LTDA,2,2.1061583071672,2.1061583071672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,SP,2.0,Baixo retorno / nicho
05.436.489/0001-62,REFINARIA PRODUÇÕES LTDA.,2,1.311952962915,2.102224962915,378.0,189.0,0.0061471,254.95250861858918,100.0,100.0,0.0,3.89,RJ,1.0,Prestígio internacional
09.942.024/0001-34,SÍMIO FILMES LTDA,2,2.0992296167999998,2.0992296167999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.325,PE,2.0,Baixo retorno / nicho
08.287.614/0001-08,88 ARTE CONTEMPORANEA LTDA,2,2.096508518468,2.096508518468,284.0,142.0,0.0026235499999999997,175.33409677347566,100.0,0.0,0.0,4.37,MG,4.0,Campeãs de público
13.393.029/0001-22,OBA CACAUE PRODUCOES EIRELI,2,1.31349075339254,2.09379543357042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,BA,2.0,Baixo retorno / nicho
11.168.287/0001-80,O SOPRO DO TEMPO LTDA - ME,1,2.088291,2.088291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,MG,,Emergentes / micro
23.240.437/0001-06,CAFEINA CONSULTORIA E MARKETING EIRELI - ME,1,2.088291,2.088291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,MT,,Emergentes / micro
19.023.949/0001-35,ORLA FILMES LTDA - ME,1,2.088291,2.088291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,CE,,Emergentes / micro
05.372.676/0001-20,MSTK PRODUÇÕES CINEMATOGRÁFICAS LTDA-ME,1,2.088291,2.088291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,SP,,Emergentes / micro
10.468.552/0001-82,TOKYO FILMES LTDA,2,2.0690118252020597,2.0851575372020603,2719.0,1359.5,0.02242748,1549.786051464353,100.0,100.0,0.0,3.89,RS,1.0,Prestígio internacional
25.094.170/0001-03,CABORÉ PRODUTORES ASSOCIADOS LTDA - ME,3,2.082031017,2.082031017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RN,2.0,Baixo retorno / nicho
08.681.701/0001-45,MENDINA DE MORAIS SANTOS PRODUÇÕES LTDA.,2,2.0740651625624,2.0806697480378,882.0,882.0,0.011755030000000001,466.4187816093353,50.0,0.0,0.0,3.4,RS,0.0,Produção para TV/VoD
19.305.367/0001-41,VILAREJO FILMES LTDA ME,2,2.06185914723478,2.06185914723478,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3.89,PE,2.0,Baixo retorno / nicho
07.496.159/0001-98,ALDEIA PRODUÇÕES LTDA,1,2.046349763556,2.046349763556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185,MG,,Emergentes / micro
23.747.020/0001-26,PAPO AMARELO PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME,3,2.0417333289262305,2.0417333289262305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PE,2.0,Baixo retorno / nicho
10.831.015/0001-55,MOVIOLA PRODUÇÕES CINEMATOGRÁFICAS LTDA,1,2.038500301824,2.034662694324,236.0,236.0,0.0030802800000000003,115.98974152244388,100.0,0.0,0.0,4.225,RJ,,Emergentes / micro
11.422.855/0001-27,GAMAROSA FILMES LTDA.,1,1.8885039700000001,2.02984724957734,1526.0,1526.0,0.01750777,751.7807068082328,100.0,0.0,0.0,3.89,RJ,,Emergentes / micro
06.130.502/0001-13,DONA ROSA PRODUÇÕES ARTÍSTICAS LTDA.,1,2.0106803683467,2.0106803683467,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.89,RJ,,Emergentes / micro
14.989.694/0001-46,NIGERIA COMUNICAÇÃO E AUDIOVISUAL LTDA ME,4,1.9955122763008,1.9955122763008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,CE,2.0,Baixo retorno / nicho
