cpb,titulo_original,ano_ref,ano_producao_inicial,uf_requerente,segmento_destinacao_inicial,tipo_obra,familia_chamada,chamada_publica,coproducao_internacional,valor_contrato_brl,n_contratos_fsa,fator_real_2024,valor_contrato_r2024,valor_fsa_r2024,inv_fsa_r2024,inv_renuncia_r2024,tem_renuncia,publico_domestico,chegou_cinema,publico_por_milhao_r2024,renda_total,sessoes_total,n_municipios,eventos_intl,pontos_intl,fest_pontuacao,fest_n,admissoes_europa,vod_eu_presencas,cartaz_eua,cartaz_asia,intl_n_mercados,desempenho_internacional,intl_n_sinais,tem_internacional,n_canais_intl,vod_paises,critica_indice_1_5,imdb_rating,imdb_n_votos,tem_critica,tem_imdb
B2400093200000,LÍNGUAS DA FLORESTA,2018,2024,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2000340300000,NEY À FLOR DA PELE,2016,2020,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 02 - PROJETO DERIVADO,False,500000.0,1,1.487011,743505.5,743505.5,743505.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.985,8.5,14.0,True,True
B1900422100000,ANTES QUE ME ESQUEÇAM MEU NOME É EDY STAR,2013,2019,BA,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.3,,,True,False
B1402855900000,MARESIA,2010,2014,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,False,1200000.0,3,2.222058,3321211.7,2666469.6,2468948.7,852263.0,True,899.0,True,270.6843408988352,10153.18,131.0,8.0,,,,,,,False,False,0,0.0,0,False,2.0,0.0,,7.4,63.0,False,True
B1101519200000,"AS AVENTURAS DE AGAMENON, O REPÓRTER",2010,2011,RJ,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.222058,11470480.067844,1111029.0,1111029.0,10359451.067844,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.3,2.8,580.0,True,True
B1201580500000,UMA HISTÓRIA DE AMOR E FÚRIA,2009,2012,SP,INDEFINIDO,ANIMAÇÃO,PRODECINE,PRODECINE 01,False,1288500.0,3,2.353382,5967195.347,3032332.707,3072904.7069999995,2894290.64,True,,False,0.0,,,,,,,,2644.0,,True,False,2,13.33,1,True,2.0,0.0,4.3,7.1,2104.0,True,True
B2200040500000,VALE NIGHT,2018,2022,SP,SALAS DE EXIBIÇÃO,FICÇÃO,ARRANJOS,ARRANJOS REGIONAIS,False,500000.0,1,1.392194,5437729.0,696097.0,696097.0,4741632.0,True,11170.0,True,2054.1663624649186,188089.51,2999.0,85.0,,,,,,,False,False,0,0.0,0,False,,,,6.1,95.0,False,True
B1800307200000,SUEÑO FLORIANÓPOLIS,2013,2018,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 02,True,700000.0,2,1.861311,1674422.05,1302917.7,1209094.3,0.0,False,4127.0,True,2464.7310395846735,31291.94,416.0,30.0,,,50.0,16.0,,,False,False,0,10.0,2,True,1.0,0.0,,6.4,612.0,False,True
B2000459900000,DORIVAL CAYMMI – UM HOMEM DE AFETOS,2014,2020,SP,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODAV,PRODAV 07,False,700000.0,2,1.749188,1271993.6800000002,1224431.5999999999,1153032.8,118960.88,True,8505.0,True,6686.353976224157,118593.31,530.0,18.0,,,,,,,False,False,0,0.0,0,False,,,4.1,7.1,32.0,True,True
B2500050600000,ABRE A COXIA,2018,2025,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,DESEMPENHO,SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL TV E VOD,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
