k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
no se lo digas a nadie,No se lo digas a nadie,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
noche de fuego,Noche de fuego,0.0,45.0,26.0,0.0,0.0,0.0,,0,1
nona si me mojan yo los quemo,"Nona. Si me mojan, yo los quemo",0.0,28.0,26.0,0.0,0.0,0.0,,0,1
o coro,O Coro,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
o diario de alice,O Diário de Alice,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
o dragao da maldade contra o santo guerreiro,O dragão da maldade contra o santo guerreiro,0.0,5.0,5.0,0.0,0.0,0.0,,0,1
o futebol,O futebol,0.0,7.0,5.0,0.0,0.0,0.0,,0,1
o grande kilapy,O Grande Kilapy,0.0,1.0,1.0,0.0,1.0,1.0,,0,3
o manuscrito perdido,O Manuscrito Perdido,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
o ornitologo,O Ornitólogo,0.0,18.0,7.0,0.0,1.0,0.0,,0,2
o outro lado do cartao postal,O Outro Lado do Cartão-Postal,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
o rio do ouro,O Rio Do Ouro,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
o samba,O Samba,0.0,18.0,13.0,0.0,0.0,0.0,,0,1
o ultimo animal,O Último Animal,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
o ultimo voo do flamingo,O Último Voo Do Flamingo,0.0,3.0,3.0,0.0,1.0,0.0,,0,2
o xigante,O Xigante,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
occupants,Occupants,0.0,134.0,24.0,0.0,0.0,0.0,,0,1
ocupacion s a,Ocupación S.A.,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
olhe bem as montanhas,Olhe Bem As Montanhas,0.0,27.0,27.0,0.0,0.0,0.0,,0,1
olmo the seagull,Olmo & the Seagull,0.0,5.0,3.0,0.0,0.0,0.0,,0,1
on the road,On the Road,0.0,111.0,24.0,0.0,0.0,0.0,,0,1
once upon a time in venezuela,Once Upon a Time in Venezuela,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
orfeu negro,Orfeu negro,0.0,36.0,8.0,0.0,0.0,0.0,,0,1
os bandeirantes,Os Bandeirantes,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
os maias,Os Maias,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
os maias cenas da vida romantica,Os Maias - Cenas da Vida Romântica,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
ou est la jungle,Où est la jungle?,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
pacifico,Pacifico,0.0,126.0,28.0,0.0,0.0,0.0,,0,1
pais do desejo,País do Desejo,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
palavra e utopia,Palavra e utopia,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
paloma,Paloma,0.0,22.0,12.0,0.0,0.0,0.0,,0,1
pedro e ines,Pedro e Inês,0.0,6.0,6.0,0.0,0.0,0.0,,0,1
pendular,Pendular,0.0,1.0,1.0,0.0,0.0,2.0,,0,2
perfect,Perfect,0.0,7.0,6.0,0.0,0.0,0.0,,0,1
pornomelancolia,Pornomelancolía,0.0,13.0,6.0,0.0,0.0,0.0,,0,1
puan,Puan,0.0,19.0,12.0,18.0,0.0,0.0,B2300527400000,0,2
quanto basta,Quanto basta,0.0,14.0,3.0,0.0,0.0,0.0,,0,1
