k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
central do brasil,Central do Brasil,2218086.0,40.0,9.0,0.0,0.0,0.0,,0,2
cidade de deus,Cidade De Deus,1810560.0,64.0,16.0,0.0,0.0,0.0,,0,2
noah s ark,Noah's Ark,530836.0,0.0,0.0,0.0,0.0,0.0,,0,1
o menino e o mundo,O Menino e o Mundo,533467.0,0.0,0.0,0.0,0.0,0.0,,0,1
que horas ela volta,Que Horas Ela Volta?,457159.0,0.0,0.0,22.0,0.0,0.0,,0,2
aquarius,Aquarius,311538.0,22.0,7.0,28.0,0.0,0.0,,0,3
tropa de elite,Tropa de elite,279171.0,0.0,0.0,0.0,0.0,0.0,,0,1
my penguin friend,My Penguin Friend,246628.0,0.0,0.0,0.0,0.0,0.0,,0,1
eu tu eles,"Eu, Tu, Eles",178155.0,0.0,0.0,0.0,0.0,0.0,,0,1
the violin teacher,The Violin Teacher,163739.0,0.0,0.0,0.0,0.0,0.0,,0,1
bacurau,Bacurau,141139.0,41.0,10.0,0.0,0.0,0.0,,0,2
tieta do agreste,Tieta do agreste,120909.0,0.0,0.0,0.0,0.0,0.0,,0,1
abril despedacado,Abril despedaçado,118985.0,3.0,1.0,0.0,0.0,0.0,,0,2
nada a perder 2,Nada a Perder 2,114975.0,0.0,0.0,0.0,0.0,0.0,,0,1
linha de passe,Linha De Passe,108157.0,0.0,0.0,0.0,0.0,0.0,,0,1
o ano em que meus pais sairam de ferias,O Ano em Que Meus Pais Saíram de Férias,97795.0,0.0,0.0,0.0,0.0,0.0,,0,1
cidade dos homens,Cidade dos homens,97109.0,0.0,0.0,0.0,0.0,0.0,,0,1
estomago uma historia nada infantil sobre poder sexo e gastronomia,"Estômago - Uma História Nada Infantil Sobre Poder, Sexo E Gastronomia",96595.0,0.0,0.0,0.0,0.0,0.0,,0,1
tropa de elite 2 o inimigo agora e outro,Tropa de Elite 2 - O Inimigo Agora É Outro,96518.0,0.0,0.0,0.0,0.0,0.0,,0,1
gabriel e a montanha,Gabriel e a montanha,95487.0,9.0,3.0,0.0,0.0,0.0,,0,2
do lado de fora,Do Lado de Fora,81109.0,0.0,0.0,0.0,0.0,0.0,,0,1
nada a perder,Nada a Perder,80012.0,0.0,0.0,0.0,0.0,0.0,,0,1
carandiru,Carandiru,75106.0,0.0,0.0,0.0,0.0,0.0,,0,1
lino uma aventura de sete vidas,Lino: Uma Aventura de Sete Vidas,73215.0,0.0,0.0,0.0,0.0,0.0,,0,1
perlimps,Perlimps,64001.0,0.0,0.0,0.0,0.0,0.0,,0,1
benzinho,Benzinho,60939.0,22.0,8.0,0.0,1.0,1.0,,0,4
madame sata,Madame Satã,41931.0,4.0,3.0,0.0,0.0,0.0,,0,2
como nossos pais,Como Nossos Pais,36866.0,0.0,0.0,0.0,0.0,0.0,,0,1
um copo de colera,Um Copo de Cólera,36838.0,0.0,0.0,0.0,0.0,0.0,,0,1
hoje eu quero voltar sozinho,Hoje Eu Quero Voltar Sozinho,36402.0,0.0,0.0,0.0,0.0,0.0,,0,1
rio eu te amo,"Rio, Eu Te Amo",35680.0,0.0,0.0,0.0,0.0,0.0,,0,1
cidade baixa,Cidade Baixa,33189.0,0.0,0.0,0.0,0.0,0.0,,0,1
bossa nova,Bossa Nova,33012.0,0.0,0.0,0.0,0.0,0.0,,0,1
o som ao redor,O Som ao Redor,32295.0,0.0,0.0,17.0,0.0,0.0,,0,2
os dez mandamentos o filme,Os Dez Mandamentos: O Filme,32256.0,0.0,0.0,0.0,0.0,0.0,,0,1
flores raras,Flores Raras,30489.0,0.0,0.0,0.0,0.0,0.0,,0,1
o misterio da estrada de sintra,O Mistério Da Estrada De Sintra,29515.0,0.0,0.0,0.0,1.0,1.0,,0,3
as boas maneiras,As Boas Maneiras,29188.0,24.0,8.0,0.0,0.0,0.0,,0,2
pequeno dicionario amoroso,Pequeno Dicionário Amoroso,28799.0,0.0,0.0,0.0,0.0,0.0,,0,1
orfeu,Orfeu,28334.0,0.0,0.0,0.0,0.0,0.0,,0,1
mae so ha uma,Mãe Só Há Uma,28144.0,0.0,0.0,0.0,0.0,0.0,,0,1
tito e os passaros,Tito e os Pássaros,27150.0,0.0,0.0,0.0,0.0,1.0,,0,2
o que e isso companheiro,"O que é isso, companheiro?",26982.0,0.0,0.0,0.0,0.0,0.0,,0,1
o primeiro dia,O primeiro dia,26565.0,1.0,1.0,0.0,0.0,0.0,,0,2
meu pe de laranja lima,Meu Pé de Laranja Lima,26507.0,0.0,0.0,6.0,0.0,0.0,,0,2
three summers,Three Summers,24972.0,20.0,4.0,0.0,0.0,0.0,,0,2
boi neon,Boi Neon,24787.0,22.0,8.0,80.0,0.0,0.0,,0,3
casa grande,Casa Grande,19926.0,0.0,0.0,24.0,0.0,0.0,,0,2
nao pare na pista a melhor historia de paulo coelho,Não Pare na Pista: A Melhor História de Paulo Coelho,19385.0,51.0,10.0,0.0,0.0,0.0,,0,2
saudade do futuro,Saudade do Futuro,18917.0,1.0,1.0,0.0,0.0,0.0,,0,2
the space in between marina abramovic and brazil,The Space in Between: Marina Abramovic and Brazil,18490.0,0.0,0.0,0.0,0.0,0.0,,0,1
o invasor,O invasor,17070.0,0.0,0.0,0.0,0.0,0.0,,0,1
a deriva,À Deriva,16115.0,0.0,0.0,0.0,0.0,0.0,,0,1
ultima parada 174,Última Parada 174,16013.0,0.0,0.0,0.0,0.0,0.0,,0,1
amores possiveis,Amores Possíveis,15863.0,0.0,0.0,0.0,0.0,0.0,,0,1
saravah,Saravah,15697.0,0.0,0.0,0.0,0.0,0.0,,0,1
jamais sans toi,Jamais sans toi,14637.0,0.0,0.0,0.0,0.0,0.0,,0,1
proibido proibir,Proibido Proibir,14286.0,0.0,0.0,0.0,0.0,0.0,,0,1
levante,Levante,13883.0,27.0,9.0,0.0,0.0,0.0,,0,2
terra estrangeira,Terra estrangeira,13230.0,0.0,0.0,0.0,0.0,0.0,,0,1
domesticas,Domésticas,12995.0,0.0,0.0,0.0,0.0,0.0,,0,1
os aventureiros a origem,Os Aventureiros - A Origem,12199.0,0.0,0.0,0.0,0.0,0.0,,0,1
o quatrilho,O quatrilho,11986.0,0.0,0.0,0.0,0.0,0.0,,0,1
boca de ouro,Boca de Ouro,11707.0,0.0,0.0,0.0,0.0,0.0,,0,1
motel destino,Motel Destino,11436.0,31.0,8.0,0.0,0.0,0.0,,0,2
ainda estou aqui,Ainda Estou Aqui,11529.0,85.0,20.0,0.0,0.0,0.0,,0,2
retratos fantasmas,Retratos Fantasmas,11146.0,0.0,0.0,25.0,0.0,0.0,B2300327500000,0,2
o grande circo mistico,O Grande Circo Místico,10256.0,1.0,1.0,0.0,1.0,1.0,,0,4
elis,Elis,9639.0,0.0,0.0,11.0,0.0,0.0,,0,2
uma onda no ar,Uma Onda No Ar,9176.0,0.0,0.0,0.0,0.0,0.0,,0,1
onibus 174,Ônibus 174,9142.0,0.0,0.0,0.0,0.0,0.0,,0,1
viva zapato,Viva Zapato,8808.0,0.0,0.0,0.0,0.0,0.0,,0,1
sai de baixo o filme,Sai de Baixo: O Filme,7768.0,0.0,0.0,0.0,0.0,0.0,,0,1
o diabo a quatro,O Diabo a Quatro,7615.0,0.0,0.0,0.0,0.0,0.0,,0,1
domingo,Domingo,7511.0,10.0,2.0,0.0,0.0,0.0,,0,2
meu nome e bagda,Meu Nome é Bagdá,7317.0,0.0,0.0,0.0,0.0,0.0,,0,1
the territory,The Territory,7210.0,32.0,31.0,0.0,0.0,0.0,,0,2
deserto particular,Deserto Particular,7171.0,30.0,17.0,0.0,0.0,1.0,,0,3
worms,Worms,7085.0,0.0,0.0,0.0,0.0,0.0,,0,1
futuro beach,Futuro Beach,6991.0,26.0,7.0,0.0,0.0,0.0,,0,2
oscar niemeyer a vida e um sopro,Oscar Niemeyer - A Vida É Um Sopro,6849.0,0.0,0.0,0.0,0.0,0.0,,0,1
greta,Greta,6629.0,0.0,0.0,0.0,0.0,0.0,,0,1
o outro lado da rua,O Outro Lado da Rua,6296.0,0.0,0.0,0.0,0.0,0.0,,0,1
cinema aspirinas e urubus,Cinema Aspirinas® e Urubus,6155.0,0.0,0.0,0.0,0.0,0.0,,0,1
medusa,MEDUSA,5980.0,0.0,0.0,23.0,0.0,0.0,B2200442800000,0,2
o vendedor de sonhos,O Vendedor de Sonhos,5727.0,0.0,0.0,0.0,0.0,0.0,,0,1
o homem que copiava,O Homem Que Copiava,5666.0,0.0,0.0,0.0,0.0,0.0,,0,1
favela rising,Favela Rising,5519.0,0.0,0.0,0.0,0.0,0.0,,0,1
tinta bruta,Tinta Bruta,5329.0,0.0,0.0,0.0,0.0,0.0,,0,1
sem coracao,Sem coração,5312.0,18.0,11.0,0.0,0.0,0.0,,0,2
o marinheiro das montanhas,O Marinheiro das Montanhas,5016.0,0.0,0.0,0.0,0.0,0.0,,0,1
aos nossos filhos,Aos Nossos Filhos,4894.0,12.0,3.0,0.0,0.0,0.0,,0,2
elis tom so tinha de ser com voce,"Elis & Tom, só tinha de ser com você",4789.0,0.0,0.0,0.0,0.0,0.0,,0,1
as tres marias,As três Marias,4740.0,0.0,0.0,0.0,0.0,0.0,,0,1
bela donna,Bela donna,4466.0,0.0,0.0,0.0,0.0,0.0,,0,1
o casamento de romeu e julieta,O Casamento de Romeu e Julieta,4305.0,0.0,0.0,0.0,0.0,0.0,,0,1
ventos de agosto,Ventos de Agosto,4185.0,0.0,0.0,0.0,0.0,0.0,,0,1
marighella,Marighella,4129.0,0.0,0.0,0.0,0.0,0.0,,0,1
o pagador de promessas,O Pagador de Promessas,4102.0,0.0,0.0,0.0,0.0,0.0,,0,1
macunaima,Macunaíma,4094.0,0.0,0.0,0.0,0.0,0.0,,0,1
corpo eletrico,Corpo Elétrico,4017.0,0.0,0.0,0.0,0.0,0.0,,0,1
getulio,Getúlio,3762.0,0.0,0.0,0.0,1.0,1.0,,0,3
lavoura arcaica,Lavoura Arcaica,3689.0,0.0,0.0,0.0,0.0,0.0,,0,1
indianara,Indianara,3687.0,0.0,0.0,0.0,0.0,0.0,,0,1
bruna surfistinha,Bruna Surfistinha,3643.0,0.0,0.0,0.0,0.0,0.0,,0,1
bixa travesty,Bixa Travesty,3630.0,0.0,0.0,0.0,0.0,0.0,,0,1
espero tua re volta,Espero tua (Re)volta,3530.0,0.0,0.0,0.0,0.0,0.0,,0,1
o ceu de suely,O Céu De Suely,3400.0,1.0,1.0,0.0,1.0,0.0,,0,3
a febre,A Febre,3357.0,14.0,5.0,0.0,0.0,0.0,,0,2
vento seco,Vento Seco,3022.0,0.0,0.0,0.0,0.0,0.0,,0,1
as aventuras do pequeno colombo,As Aventuras do Pequeno Colombo,2974.0,0.0,0.0,0.0,0.0,0.0,,0,1
beira mar,Beira-Mar,2907.0,0.0,0.0,10.0,0.0,0.0,,0,2
hans staden,Hans Staden,2830.0,0.0,0.0,0.0,0.0,0.0,,0,1
meu nome e gal,Meu Nome é Gal,2825.0,0.0,0.0,3.0,0.0,0.0,B2300212900000,0,2
estou me guardando para quando o carnaval chegar,Estou Me Guardando Para Quando O Carnaval Chegar,2744.0,0.0,0.0,0.0,0.0,0.0,,0,1
quase dois irmaos,Quase Dois Irmãos,2744.0,0.0,0.0,0.0,0.0,0.0,,0,1
uma historia de amor e furia,Uma História de Amor e Fúria,2644.0,0.0,0.0,13.0,0.0,0.0,,0,2
trabalhar cansa,Trabalhar Cansa,2563.0,0.0,0.0,0.0,0.0,0.0,,0,1
as duas irenes,As Duas Irenes,2525.0,0.0,0.0,0.0,0.0,0.0,,0,1
a ilha dos escravos,A Ilha Dos Escravos,2490.0,0.0,0.0,0.0,0.0,0.0,,0,1
vazante,Vazante,2475.0,3.0,1.0,0.0,1.0,0.0,,0,3
regra 34,Regra 34,2463.0,19.0,5.0,25.0,0.0,0.0,B2300001100000,0,3
il etait une fois veronica,Il était une fois Veronica,2441.0,2.0,2.0,0.0,0.0,0.0,,0,2
medida provisoria,Medida Provisória,2379.0,0.0,0.0,0.0,0.0,0.0,,0,1
soy cuba o mamute siberiano,"Soy Cuba, O Mamute Siberiano",2357.0,0.0,0.0,0.0,0.0,0.0,,0,1
temporada,Temporada,2353.0,0.0,0.0,0.0,0.0,0.0,,0,1
a busca,A Busca,2330.0,0.0,0.0,6.0,0.0,0.0,,0,2
no coracao do mundo,No Coração do Mundo,2206.0,0.0,0.0,0.0,0.0,0.0,,0,1
maternal,Maternal,2172.0,0.0,0.0,0.0,0.0,0.0,,0,1
a bela america,A Bela América,2108.0,7.0,3.0,0.0,0.0,1.0,,0,3
a viagem de pedro,A Viagem de Pedro,2090.0,1.0,1.0,0.0,0.0,0.0,,0,2
mutum,Mutum,2089.0,1.0,1.0,0.0,0.0,0.0,,0,2
o lobo atras da porta,O Lobo atrás da Porta,2069.0,0.0,0.0,0.0,0.0,0.0,,0,1
fevereiros,Fevereiros,2051.0,0.0,0.0,0.0,0.0,0.0,,0,1
pequeno segredo,Pequeno Segredo,1968.0,0.0,0.0,0.0,0.0,0.0,,0,1
mamonas assassinas o filme,Mamonas Assassinas: O Filme,1957.0,0.0,0.0,0.0,0.0,0.0,,0,1
xingu,Xingu,1936.0,0.0,0.0,0.0,0.0,0.0,,0,1
deus e o diabo na terra do sol,Deus e o Diabo na Terra do Sol,1890.0,0.0,0.0,0.0,0.0,0.0,,0,1
olhando para as estrelas,Olhando para as Estrelas,1842.0,0.0,0.0,0.0,0.0,0.0,,0,1
no intenso agora,No Intenso Agora,1786.0,0.0,0.0,0.0,0.0,0.0,,0,1
quem se importa,Quem se importa,1781.0,26.0,20.0,0.0,0.0,0.0,,0,2
mate me por favor,Mate-me por favor,1779.0,0.0,0.0,21.0,1.0,1.0,,0,4
os famosos e os duendes da morte,Os Famosos e os Duendes da Morte,1766.0,1.0,1.0,0.0,0.0,0.0,,0,2
diario de um novo mundo,Diário de Um Novo Mundo,1600.0,0.0,0.0,0.0,0.0,0.0,,0,1
era o hotel cambridge,Era o Hotel Cambridge,1525.0,1.0,1.0,0.0,0.0,0.0,,0,2
as melhores coisas do mundo,As Melhores Coisas do Mundo,1491.0,0.0,0.0,0.0,0.0,0.0,,0,1
casa de areia,Casa de Areia,1488.0,0.0,0.0,0.0,0.0,0.0,,0,1
rio de vozes,Rio de Vozes,1483.0,0.0,0.0,0.0,0.0,0.0,,0,1
16060,16060,1448.0,0.0,0.0,0.0,0.0,0.0,,0,1
a casa de alice,A casa de Alice,1436.0,0.0,0.0,0.0,0.0,0.0,,0,1
o clube dos anjos,O Clube dos Anjos,1429.0,2.0,1.0,0.0,0.0,1.0,,0,3
a estrada 47,A Estrada 47,1383.0,45.0,10.0,5.0,0.0,1.0,,0,4
ritmo alucinante,Ritmo Alucinante,1359.0,0.0,0.0,0.0,0.0,0.0,,0,1
i am not salvador,I am not Salvador,1355.0,0.0,0.0,0.0,0.0,0.0,,0,1
pedagio,Pedágio,1332.0,2.0,2.0,25.0,0.0,0.0,B2300343300000,0,3
nossa chape,Nossa Chape,1323.0,0.0,0.0,0.0,0.0,0.0,,0,1
antonio um dois tres,António Um Dois Três,1311.0,37.0,19.0,0.0,0.0,0.0,,0,2
a floresta de jonathas,A Floresta de Jonathas,1282.0,0.0,0.0,5.0,0.0,0.0,,0,2
corazon iluminado,Corazón iluminado,1274.0,0.0,0.0,0.0,0.0,0.0,,0,1
os ultimos dias de gilda,Os Últimos Dias de Gilda,1269.0,0.0,0.0,0.0,0.0,0.0,,0,1
on wheels,On Wheels,1262.0,0.0,0.0,0.0,0.0,0.0,,0,1
pixote a lei do mais fraco,Pixote: A Lei do Mais Fraco,1196.0,0.0,0.0,0.0,0.0,0.0,,0,1
mato seco em chamas,Mato Seco em Chamas,1178.0,0.0,0.0,0.0,0.0,0.0,,0,1
astral city a spiritual journey,Astral City: A Spiritual Journey,1175.0,0.0,0.0,0.0,0.0,0.0,,0,1
chico artista brasileiro,Chico: Artista Brasileiro,1091.0,0.0,0.0,0.0,0.0,0.0,,0,1
tropicalia,Tropicália,1081.0,0.0,0.0,0.0,0.0,0.0,,0,1
eu receberia as piores noticias dos seus lindos labios,Eu Receberia as Piores Notícias dos seus Lindos Lábios,1063.0,0.0,0.0,0.0,0.0,0.0,,0,1
aos teus olhos,Aos Teus Olhos,1055.0,0.0,0.0,0.0,0.0,0.0,,0,1
o palhaco,O Palhaço,1054.0,0.0,0.0,0.0,0.0,0.0,,0,1
verger mensageiro entre dois mundos,"Verger, mensageiro entre dois mundos",1046.0,0.0,0.0,0.0,0.0,0.0,,0,1
piripkura,Piripkura,1020.0,0.0,0.0,0.0,0.0,0.0,,0,1
socrates,Socrates,1018.0,0.0,0.0,0.0,0.0,0.0,,0,1
viajo porque preciso volto porque te amo,"Viajo Porque Preciso, Volto Porque te Amo",1012.0,0.0,0.0,0.0,0.0,0.0,,0,1
a paixao segundo g h,A Paixão Segundo G.H.,999.0,0.0,0.0,0.0,0.0,0.0,,0,1
zoom,Zoom,988.0,0.0,0.0,0.0,0.0,0.0,,0,1
cinema novo,Cinema Novo,968.0,0.0,0.0,19.0,0.0,0.0,,0,2
baby,Baby,964.0,13.0,5.0,0.0,0.0,0.0,,0,2
a primeira morte de joana,A Primeira Morte de Joana,944.0,0.0,0.0,0.0,0.0,0.0,,0,1
tinnitus,Tinnitus,942.0,0.0,0.0,8.0,0.0,0.0,B2100484600000,0,2
only when i dance,Only When I Dance,929.0,2.0,2.0,0.0,0.0,0.0,,0,2
veja esta cancao,Veja Esta Canção,921.0,0.0,0.0,0.0,0.0,0.0,,0,1
a queda do ceu,A Queda do Céu,907.0,0.0,0.0,0.0,0.0,0.0,,0,1
villa lobos uma vida de paixao,Villa-Lobos - Uma Vida de Paixão,898.0,0.0,0.0,0.0,0.0,0.0,,0,1
deslembro,Deslembro,878.0,0.0,0.0,0.0,0.0,0.0,,0,1
human life,Human Life,863.0,0.0,0.0,0.0,0.0,0.0,,0,1
paraisos artificiais,Paraísos Artificiais,862.0,0.0,0.0,0.0,0.0,0.0,,0,1
hommage a glauber rocha,Hommage à Glauber Rocha,821.0,0.0,0.0,0.0,0.0,0.0,,0,1
joaquim,Joaquim,809.0,1.0,1.0,0.0,1.0,0.0,,0,3
alma corsaria,Alma Corsária,808.0,0.0,0.0,0.0,0.0,0.0,,0,1
ate que a musica pare,Até que a Música Pare,771.0,0.0,0.0,0.0,1.0,0.0,,0,2
marte um,Marte Um,740.0,0.0,0.0,0.0,0.0,0.0,,0,1
historias de amor duram apenas 90 minutos,Histórias de Amor Duram Apenas 90 Minutos,711.0,0.0,0.0,0.0,0.0,1.0,,0,2
sangue azul,Sangue Azul,711.0,0.0,0.0,7.0,0.0,0.0,,0,2
estive em lisboa e lembrei de voce,Estive em Lisboa e Lembrei de Você,694.0,1.0,1.0,0.0,0.0,0.0,,0,2
o homem das multidoes,O Homem das Multidões,666.0,0.0,0.0,0.0,0.0,0.0,,0,1
janela da alma,Janela da Alma,641.0,0.0,0.0,0.0,0.0,0.0,,0,1
gemeas,Gêmeas,613.0,0.0,0.0,0.0,0.0,0.0,,0,1
idolo,Ídolo,608.0,0.0,0.0,0.0,0.0,0.0,,0,1
como fazer um filmo de amor,Como fazer um filmo de amor,600.0,0.0,0.0,0.0,0.0,0.0,,0,1
my name is now,My Name Is Now,599.0,0.0,0.0,0.0,0.0,0.0,,0,1
1960,1960,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
360,360,0.0,78.0,16.0,0.0,0.0,0.0,,0,1
a chuva acalanta a dor,A Chuva Acalanta a Dor,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
a cidade onde envelheco,A Cidade onde Envelheço,0.0,7.0,7.0,0.0,0.0,0.0,,0,1
a family submerged,A Family Submerged,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
a fidai film,A Fidai Film,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
a flor do buriti,A Flor do Buriti,0.0,13.0,4.0,0.0,0.0,0.0,,0,1
a journey,A Journey,0.0,69.0,23.0,0.0,0.0,0.0,,0,1
a onda traz o vento leva,"A Onda Traz, O Vento Leva",0.0,7.0,7.0,0.0,0.0,0.0,,0,1
a vida invisivel,A Vida Invisível,0.0,45.0,11.0,0.0,0.0,0.0,,0,1
ainda temos a imensidao da noite,Ainda Temos a Imensidão da Noite,0.0,14.0,12.0,0.0,0.0,0.0,,0,1
alguem como eu,Alguém Como Eu,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
all still orbit,All Still Orbit,0.0,34.0,27.0,0.0,0.0,0.0,,0,1
amazon,Amazon,0.0,10.0,6.0,0.0,0.0,0.0,,0,1
amazon adventure,Amazon Adventure,0.0,28.0,27.0,0.0,0.0,0.0,,0,1
amazonia,Amazonia,0.0,46.0,10.0,0.0,0.0,0.0,,0,1
america,América,0.0,1.0,1.0,0.0,1.0,1.0,,0,3
amigo secreto,Amigo Secreto,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
amo te imenso,Amo-te Imenso,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
an aviation field,An Aviation Field,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
another forever,Another Forever,0.0,5.0,3.0,0.0,0.0,0.0,,0,1
another silence,Another Silence,0.0,5.0,1.0,0.0,0.0,0.0,,0,1
antonio lindo antonio,"António, Lindo António",0.0,1.0,1.0,0.0,0.0,0.0,,0,1
apiyemiyeki,Apiyemiyekî?,0.0,27.0,27.0,0.0,0.0,0.0,,0,1
apocalypse in the tropics,Apocalypse in the Tropics,0.0,29.0,24.0,0.0,0.0,0.0,,0,1
ausencia,Ausência,0.0,1.0,1.0,13.0,0.0,1.0,,0,3
aya arcos,Aya Arcos,0.0,3.0,2.0,0.0,0.0,0.0,,0,1
bach in brazil,Bach in Brazil,0.0,21.0,3.0,0.0,0.0,0.0,,0,1
base,Base,0.0,14.0,12.0,0.0,0.0,0.0,,0,1
bastardi a mano armata,Bastardi a mano armata,0.0,37.0,10.0,0.0,0.0,0.0,,0,1
beckett,Beckett,0.0,36.0,31.0,0.0,0.0,0.0,,0,1
bei den kaffeepfluckern in brasilien,Bei den Kaffeepflückern in Brasilien,0.0,3.0,3.0,0.0,0.0,0.0,,0,1
believe the beat,Believe the Beat,0.0,19.0,19.0,0.0,0.0,0.0,,0,1
big bang,Big Bang,0.0,8.0,8.0,0.0,0.0,0.0,,0,1
birdwatchers la terra degli uomini rossi,BirdWatchers - La terra degli uomini rossi,0.0,7.0,6.0,0.0,0.0,0.0,,0,1
blue lips,Blue Lips,0.0,36.0,22.0,0.0,0.0,0.0,,0,1
boardheads,BoardHeads,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
bounce how the ball taught the world to play,Bounce: How the Ball Taught the World to Play,0.0,26.0,22.0,0.0,0.0,0.0,,0,1
boys on film 22 love to love you,Boys on Film 22: Love to Love You,0.0,6.0,5.0,0.0,0.0,0.0,,0,1
boys on film 23 dangerous to know,Boys on Film 23: Dangerous to Know,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
brasileirinho,Brasileirinho,0.0,7.0,4.0,0.0,0.0,0.0,,0,1
brazil 2002 the real story,Brazil 2002: The Real Story,0.0,13.0,12.0,0.0,0.0,0.0,,0,1
