chamada,valor_mi,legado_cat,meu_automatismo,esperado_automatismo,meu_criterio,esperado_criterio,meu_elo,esperado_elo,meu_destino,esperado_destino,meu_macro,origem,status,divergencias,fonte_oficial
PRODAV - TVS PÚBLICAS,67.5,_tv_excluir,seletivo_leitura,,nao_aplica,,programadora_tv,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL CINEMA,46.7,Auto_Bilh,automatico,automatico,bilheteria,bilheteria,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/suporte-automatico/
COMPLEMENTAÇÃO,45.2,Complementacao,complementacao,complementacao,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
CINEMA VIA DISTRIBUIDORA,44.9,Pont_Com_Dist,misto_pont_roteiro,misto_pont_roteiro,bilheteria,bilheteria,distribuidora,distribuidora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODUÇÃO CINEMA VIA DISTRIBUIDORA,43.1,Pont_Com_Dist,misto_pont_roteiro,misto_pont_roteiro,bilheteria,bilheteria,distribuidora,distribuidora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODAV 03,42.7,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODAV 07,38.9,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
COPRODUÇÃO INTERNACIONAL CINEMA,34.9,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL TV E VOD,34.2,_tv_excluir,automatico,,bilheteria,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/suporte-automatico/
PRODUÇÃO TV/VOD – VIA PROGRAMADORA,34.0,_tv_excluir,seletivo_leitura,,nao_aplica,,programadora_tv,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,—
