CPB;titulo;ano;cat;instrumento;critica_indice_1_5;critica_n_fontes;cita_n_papers;cita_soma_cit;IMDB_VOTES;qid;L;L_nonpten;pv2024;sitelinks
B1700542200000;ALCE & ALICE;2017;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1800408800000;AURORA 1964;2017;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1700620000000;BRAZIL, MADE IN PARANÁ;2017;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;;;0;0;0;0
B1900426000000;CANAL 60;2017;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1900452000000;CLANDESTINO;2017;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;;;0;0;0;0
B1700342300000;DIÁRIOS DA FLORESTA;2017;Arranjos Regionais;FSA puro;4.0;1;;;;;0;0;0;0
B1800077200000;JEITOSINHA;2017;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;22.0;Q42048266;2;1;699;2
B1900203700000;JOÃO E MARIA - UMA AVENTURA NO CERRADO (O FILME);2017;Arranjos Regionais;Misto FSA+Renúncia;4.3;1;;;;;0;0;0;0
B1800443100000;LENINGRADO LINHA 41;2017;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1700214000000;NO FIM DE TUDO;2017;Arranjos Regionais;FSA puro;4.3;1;;;;;0;0;0;0
B1700104400000;O CLUBE DOS CANIBAIS;2017;Arranjos Regionais;FSA puro;3.445;2;;;1194.0;;0;0;0;0
B1800609700000;O SAMBA QUE MORA AQUI;2017;Arranjos Regionais;Misto FSA+Renúncia;4.03;2;;;;;0;0;0;0
B1700070600000;O SENHOR DAS JORNADAS;2017;Arranjos Regionais;FSA puro;4.133;2;;;;;0;0;0;0
B1700510100000;PAULA PARANORMAL;2017;Arranjos Regionais;FSA puro;0.0;0;1.0;0.0;;;0;0;0;0
B1800236000000;PROFETAS DA CHUVA;2017;Arranjos Regionais;FSA puro;3.468;2;;;;;0;0;0;0
B1800364300000;SABÁ;2017;Arranjos Regionais;FSA puro;0.0;0;2.0;1.0;;;0;0;0;0
B1700424500000;YONLU;2017;Arranjos Regionais;FSA puro;0.0;0;;;262.0;Q27996403;1;0;3347;1
B1800307800000;1798 REVOLTA DOS BÚZIOS;2018;Arranjos Regionais;FSA puro;0.0;0;3.0;39.0;;;0;0;0;0
B1900117400000;A COLMEIA;2018;Arranjos Regionais;FSA puro;0.0;0;;;15.0;;0;0;0;0
B1900412100000;A VOZ DO VERBO ENCANTADO;2018;Arranjos Regionais;FSA puro;2.6;1;0.0;;;;0;0;0;0
B1900034500000;ALASKA;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800093300000;ANJOS HUMANOS;2018;Arranjos Regionais;FSA puro;0.0;0;15.0;18.0;;;0;0;0;0
B1800141000000;AZOUGUE NAZARÉ;2018;Arranjos Regionais;FSA puro;0.0;0;;;149.0;;0;0;0;0
B1800494000000;BEIÇO DE ESTRADA;2018;Arranjos Regionais;Misto FSA+Renúncia;3.6;1;1.0;0.0;;;0;0;0;0
B1800394600000;BOTECAM;2018;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1900032600000;CARTAS PARA...A SÉRIE, ESCRITORAS BAIANAS;2018;Arranjos Regionais;FSA puro;4.055;2;;;;;0;0;0;0
B1900210300000;"CIRCO SOCIAL ""OS KACO""";2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900433000000;CODINOME BRENO;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800569200000;CRISÁLIDA;2018;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1800566100000;CRUA;2018;Arranjos Regionais;FSA puro;4.23;2;1.0;0.0;;;0;0;0;0
B1800485700000;ESTANTE DE LIVROS;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800449500000;EU, UM OUTRO;2018;Arranjos Regionais;FSA puro;3.983;1;;;;;0;0;0;0
B1800335300000;FRANS KRAJCBERG: MANIFESTO;2018;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1800452000000;FRONTEIRAS;2018;Arranjos Regionais;Misto FSA+Renúncia;3.817;1;;;;;0;0;0;0
B1900248400000;HUNT;2018;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1800255500000;ILHA;2018;Arranjos Regionais;Misto FSA+Renúncia;4.423;2;36.0;14.0;;;0;0;0;0
B1800168300000;INFERNINHO;2018;Arranjos Regionais;FSA puro;0.0;0;;;384.0;Q106947334;1;0;1721;1
B1800190900000;JOVENS DE CORAÇÃO - EPISÓDIO PILOTO;2018;Arranjos Regionais;FSA puro;4.203;2;1.0;0.0;;;0;0;0;0
B1800444000000;JUVENAL E OLIVER;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800287700000;LUNA;2018;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;1036.0;Q28919276;5;3;18170;5
B1800610400000;MIRANTE;2018;Arranjos Regionais;FSA puro;0.0;0;;;12.0;;0;0;0;0
B1900112800000;NA ASA DO VENTO;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800348000000;NA CONTRAMÃO;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900027900000;NADIR;2018;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1800440700000;O BARCO;2018;Arranjos Regionais;FSA puro;0.0;0;;;87.0;;0;0;0;0
B1800311700000;O BEIJO DE ALICE;2018;Arranjos Regionais;FSA puro;4.11;2;;;;;0;0;0;0
B1800445800000;O BEM-AVENTURADO;2018;Arranjos Regionais;FSA puro;0.0;0;;;96.0;;0;0;0;0
B1800378500000;O DESPERTAR DE SOLOMON;2018;Arranjos Regionais;FSA puro;3.6;1;0.0;;;;0;0;0;0
B1800189500000;OFF-GRID - (DES)REGRADOS (EPISÓDIO PILOTO);2018;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1800235200000;ONDE QUER QUE VOCÊ ESTEJA;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1800595000000;PEDRINHO E A CHUTEIRA DA SORTE;2018;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900427100000;QUANDO AS COISAS SE DESMANCHAM;2018;Arranjos Regionais;FSA puro;3.7;1;;;;;0;0;0;0
B1800216300000;RICK COM MONSTROS NOS DEDOS - EPISÓDIO PILOTO;2018;Arranjos Regionais;FSA puro;3.6;1;1.0;0.0;;;0;0;0;0
B1800466100000;TEMPORADA;2018;Arranjos Regionais;Misto FSA+Renúncia;3.213;2;0.0;;872.0;Q65166492;3;1;4167;3
B1800454800000;XADALU E O JAGUARETÊ;2018;Arranjos Regionais;FSA puro;3.4;1;;;;;0;0;0;0
B1900471700000;A ARTE URBANA;2019;Arranjos Regionais;FSA puro;3.88;1;5.0;2.0;;;0;0;0;0
B1900494600000;A BATALHA DE SHANGRI-LÁ;2019;Arranjos Regionais;Misto FSA+Renúncia;3.965;2;2.0;0.0;;;0;0;0;0
B1900371300000;A CIDADE DO FUTURO TV;2019;Arranjos Regionais;Misto FSA+Renúncia;4.062;2;1.0;0.0;;;0;0;0;0
B1900611200000;A CIDADE DOS ABISMOS;2019;Arranjos Regionais;Misto FSA+Renúncia;3.5;1;;;33.0;;0;0;0;0
B1900585300000;A MARAVILHA DO SÉCULO;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900249100000;A NOITE AMARELA;2019;Arranjos Regionais;FSA puro;3.2;1;;;211.0;;0;0;0;0
B1900617900000;A ÉTICA DAS HIENAS;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900347600000;AMBIENTE FAMILIAR;2019;Arranjos Regionais;FSA puro;0.0;0;;;16.0;;0;0;0;0
B2000007500000;APERTE START, WOLFGANG;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900158800000;AVENTURAS DE AMÍ;2019;Arranjos Regionais;FSA puro;4.5;1;;;;;0;0;0;0
B1900223700000;BAIXO CENTRO;2019;Arranjos Regionais;FSA puro;0.0;0;0.0;;21.0;;0;0;0;0
B1900498800000;BATE CORAÇÃO;2019;Arranjos Regionais;Misto FSA+Renúncia;3.4;1;;;50.0;;0;0;0;0
B1900045700000;BECO;2019;Arranjos Regionais;FSA puro;4.027;2;15.0;18.0;;;0;0;0;0
B1900160800000;BOIS, RAPOSAS E CROCODILOS;2019;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1900591800000;BORIS E RUFUS- TEMPORADA 03;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1900504800000;BRASÍLIA, A HISTÓRIA DA HISTÓRIA;2019;Arranjos Regionais;Misto FSA+Renúncia;4.175;2;;;;;0;0;0;0
B1900561100000;CAPITÃO ASTÚCIA;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1900268200000;CASALTOPIA;2019;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1900583200000;CIDADE PÁSSARO;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1900308000000;CURTAS JORNADAS NOITE ADENTRO;2019;Arranjos Regionais;FSA puro;0.0;0;;;16.0;;0;0;0;0
B1900514000000;D'ARQUEOLOGIA - A OCUPAÇÃO DO BRASIL;2019;Arranjos Regionais;FSA puro;4.343;2;;;;;0;0;0;0
B1900379100000;DEPOIS DE SER CINZA;2019;Arranjos Regionais;FSA puro;0.0;0;0.0;;21.0;;0;0;0;0
B1900298300000;DESTINO DAS SOMBRAS;2019;Arranjos Regionais;FSA puro;3.83;2;;;;;0;0;0;0
B2000230900000;DESVIO;2019;Arranjos Regionais;FSA puro;0.0;0;1.0;0.0;21.0;;0;0;0;0
B1900090000000;DISFORIA;2019;Arranjos Regionais;FSA puro;0.0;0;;;44.0;;0;0;0;0
B1900423900000;DOIS TEMPOS;2019;Arranjos Regionais;Misto FSA+Renúncia;3.775;1;;;27.0;;0;0;0;0
B1900288400000;DR. OCRIDE;2019;Arranjos Regionais;FSA puro;0.0;0;1.0;0.0;;;0;0;0;0
B1900247000000;EM REFORMA;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;5.0;0.0;;;0;0;0;0
B1900336600000;FAIXA DE GAZA;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900205100000;FOTOGRAFAÇÃO;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;45.0;;0;0;0;0
B1900201200000;GÊNERO PLURAL;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000100400000;HOSANA NAS ALTURAS;2019;Arranjos Regionais;FSA puro;3.9;1;0.0;;;;0;0;0;0
B1900247500000;MEZANINO;2019;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B1900153500000;NATUREZA DO HOMEM;2019;Arranjos Regionais;FSA puro;4.4;1;0.0;;;;0;0;0;0
B1900197700000;NATUREZA DO HOMEM;2019;Arranjos Regionais;FSA puro;4.4;1;0.0;;;;0;0;0;0
B1900461300000;O HOMEM CORDIAL;2019;Arranjos Regionais;FSA puro;3.707;2;;;191.0;;0;0;0;0
B1900448300000;OLHAR SUBMERSO - NAUFRÁGIOS DE PERNAMBUCO;2019;Arranjos Regionais;FSA puro;4.018;2;0.0;;;;0;0;0;0
B1900179300000;OLHOS DE FOGO;2019;Arranjos Regionais;FSA puro;3.993;2;;;;;0;0;0;0
B1900235200000;ORQUESTRA DO MUNDO - RIO SÃO FRANCISCO;2019;Arranjos Regionais;Misto FSA+Renúncia;4.252;2;;;;;0;0;0;0
B1900421600000;OS BRAVOS NUNCA SE CALAM;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900489000000;OS HERDEIROS;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900146900000;OS KONSIDERADOS;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900350600000;PARQUE OESTE;2019;Arranjos Regionais;FSA puro;0.0;0;2.0;0.0;;;0;0;0;0
B1900570100000;QUEM TEM MEDO DE LUCIENE CARVALHO?;2019;Arranjos Regionais;Misto FSA+Renúncia;3.788;2;;;;;0;0;0;0
B1900507200000;QUERÊNCIA;2019;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;81.0;Q75739741;1;1;145;1
B1900336500000;SEU AMOR DE VOLTA (MESMO QUE ELE NÃO QUEIRA);2019;Arranjos Regionais;Misto FSA+Renúncia;4.3;1;5.0;0.0;;;0;0;0;0
B1900197900000;TABUH!;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B1900397800000;UM PEIXE PARA DOIS;2019;Arranjos Regionais;Misto FSA+Renúncia;3.775;1;0.0;;;;0;0;0;0
B1900590100000;VILA MARIOTE;2019;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000223500000;80 ANOS;2020;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;;;0;0;0;0
B2000294200000;A ESPERA DE LIZ;2020;Arranjos Regionais;FSA puro;4.37;2;1.0;0.0;30.0;Q110800968;1;0;1403;1
B2000523200000;A MESMA PARTE DE UM HOMEM;2020;Arranjos Regionais;FSA puro;4.1;1;2.0;0.0;84.0;Q114151535;1;0;1525;1
B2000096300000;A MORTE HABITA À NOITE;2020;Arranjos Regionais;FSA puro;3.57;2;0.0;;56.0;;0;0;0;0
B2000264700000;A TRADICIONAL FAMÍLIA BRASILEIRA - KATU;2020;Arranjos Regionais;FSA puro;3.9;1;;;;;0;0;0;0
B2000096500000;ACQUA MOVIE;2020;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;78.0;Q106542298;1;0;1795;1
B2000255200000;ATRAS DA SOMBRA;2020;Arranjos Regionais;FSA puro;4.2;1;;;36.0;;0;0;0;0
B2000495400000;CAMINHO DE VOLTA;2020;Arranjos Regionais;FSA puro;4.3;1;6.0;9.0;;;0;0;0;0
B2000073200000;CASA IZABEL;2020;Arranjos Regionais;FSA puro;0.0;0;;;65.0;;0;0;0;0
B2000130600000;CAVALO;2020;Arranjos Regionais;Misto FSA+Renúncia;4.4;1;;;23.0;;0;0;0;0
B2000173800000;CELSO ANTÔNIO, BRASILEIRO;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000344400000;CIDADE SUBMERSA;2020;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2000157600000;COLETIVO DE MULTIDÃO;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000026900000;CULTURAMA;2020;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2000059600000;DA MANGA ROSA;2020;Arranjos Regionais;Misto FSA+Renúncia;4.09;2;0.0;;;;0;0;0;0
B2000325100000;DENTRO DA MINHA PELE;2020;Arranjos Regionais;FSA puro;4.4;1;1.0;0.0;17.0;;0;0;0;0
B2000468500000;DORA E GABRIEL;2020;Arranjos Regionais;Misto FSA+Renúncia;3.5;1;;;10.0;;0;0;0;0
B2000436900000;ENTRE NÓS, UM SEGREDO;2020;Arranjos Regionais;FSA puro;3.6;1;0.0;;36.0;;0;0;0;0
B2000499300000;ESPERO QUE ESTA TE ENCONTRE E QUE ESTEJAS BEM;2020;Arranjos Regionais;FSA puro;0.0;0;;;18.0;;0;0;0;0
B2000066500000;FIM DE FESTA;2020;Arranjos Regionais;FSA puro;3.998;2;;;251.0;Q109279166;1;0;1300;1
B2000184000000;FRANCISCO SÓ QUER JOGAR BOLA;2020;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2000352100000;GYURI;2020;Arranjos Regionais;FSA puro;0.0;0;;;15.0;;0;0;0;0
B2000227100000;MEU QUERIDO SUPERMERCADO;2020;Arranjos Regionais;FSA puro;0.0;0;;;53.0;;0;0;0;0
B2000335200000;MEU TIO JOSÉ;2020;Arranjos Regionais;FSA puro;3.375;2;0.0;;98.0;;0;0;0;0
B2000100500000;NOSSO AMOR DE HOJE;2020;Arranjos Regionais;Misto FSA+Renúncia;4.3;1;0.0;;;;0;0;0;0
B2000524900000;O CINEMA E AS CIDADES;2020;Arranjos Regionais;Misto FSA+Renúncia;3.4;1;0.0;;;;0;0;0;0
B2000240100000;O LODO;2020;Arranjos Regionais;FSA puro;0.0;0;;;38.0;;0;0;0;0
B2000397100000;PALAVRA CRÍTICA;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000255600000;POR TRÁS DA LINHA DE ESCUDOS;2020;Arranjos Regionais;FSA puro;3.325;1;;;;;0;0;0;0
B2000239400000;SELVA;2020;Arranjos Regionais;Misto FSA+Renúncia;4.2;1;;;;;0;0;0;0
B2000124100000;SEM RETORNO;2020;Arranjos Regionais;FSA puro;3.8;1;;;;;0;0;0;0
B2000160000000;SOL ALEGRIA;2020;Arranjos Regionais;FSA puro;3.88;1;;;283.0;;0;0;0;0
B2000154700000;SONHADORES;2020;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2000114300000;TERMINAL PRAIA GRANDE;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000048800000;UMA MULHER, UMA ALDEIA;2020;Arranjos Regionais;FSA puro;4.305;2;4.0;0.0;;;0;0;0;0
B2000112100000;VAI MELHORAR;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000477400000;VIA PÚBLICA;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000059900000;VILA HAITI;2020;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2000284300000;ÚLTIMA CIDADE;2020;Arranjos Regionais;FSA puro;0.0;0;;;9.0;;0;0;0;0
B2100075200000;A LUZ NA ESCURIDÃO;2021;Arranjos Regionais;FSA puro;3.7;1;2.0;18.0;;;0;0;0;0
B2100113900000;A NUVEM ROSA;2021;Arranjos Regionais;FSA puro;4.02;2;;;1050.0;Q104902864;6;4;11202;6
B2100328100000;A RAINHA E SEUS REIS DE BARRO;2021;Arranjos Regionais;FSA puro;4.2;1;;;;;0;0;0;0
B2100074300000;AS CORES QUE HABITAMOS;2021;Arranjos Regionais;Misto FSA+Renúncia;4.32;2;;;;;0;0;0;0
B2100446000000;AVE CANUDOS! OS QUE SOBREVIVERAM TE SAÚDAM;2021;Arranjos Regionais;FSA puro;0.0;0;3.0;39.0;;;0;0;0;0
B2100017700000;BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;2021;Arranjos Regionais;Misto FSA+Renúncia;3.6;1;6.0;0.0;;;0;0;0;0
B2100278600000;FLOR NO QUINTAL;2021;Arranjos Regionais;FSA puro;4.3;1;;;;;0;0;0;0
B2100132300000;MAR DE ZILA;2021;Arranjos Regionais;FSA puro;4.5;1;2.0;0.0;;;0;0;0;0
B2100033900000;MATA GROSSA;2021;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2100053500000;PEQUENO TRATADO DE PEQUENAS COISAS;2021;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2100075400000;TEORIA DO ÍMPETO;2021;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2100104400000;TODA MENINA BAIANA;2021;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2100141600000;TOTOTÓS CANOAS DO RIO SERGIPE;2021;Arranjos Regionais;Misto FSA+Renúncia;4.252;2;;;;;0;0;0;0
B2100024000000;TRÊS VIDAS E UM SONHO;2021;Arranjos Regionais;FSA puro;4.118;2;;;;;0;0;0;0
B2200127900000;A PEDRA E A PALAVRA - PADRE ANTÔNIO VIEIRA;2022;Arranjos Regionais;FSA puro;3.858;2;;;;;0;0;0;0
B2200013100000;ANIMAIS NA PISTA;2022;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2200360000000;BAHIA DA FÉ AO PROFANO;2022;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2200451700000;BRICHOS 3 - MEGAVIRUS;2022;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2200143600000;CHEF JACK, O COZINHEIRO AVENTUREIRO;2022;Arranjos Regionais;FSA puro;4.0;1;4.0;0.0;171.0;Q116638601;5;3;8360;5
B2200073000000;DEUS TEM AIDS;2022;Arranjos Regionais;FSA puro;0.0;0;0.0;;60.0;;0;0;0;0
B2200449200000;ESPUMAS AO VENTO;2022;Arranjos Regionais;FSA puro;4.1;1;;;;;0;0;0;0
B2200203400000;FIM DE SEMANA NO PARAÍSO SELVAGEM;2022;Arranjos Regionais;FSA puro;3.84;2;;;;Q123754643;1;0;760;1
B2200133200000;MÚLTIPLO VALDI;2022;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2200497100000;O ANEL DE EVA;2022;Arranjos Regionais;FSA puro;2.4;1;1.0;0.0;5.0;;0;0;0;0
B2200390700000;O QUE OS OLHOS NÃO VEEM...;2022;Arranjos Regionais;FSA puro;3.933;2;;;;;0;0;0;0
B2200212700000;OS PRIMEIROS SOLDADOS;2022;Arranjos Regionais;FSA puro;4.2;1;;;256.0;Q113500367;2;0;5213;2
B2200442900000;PLACA-MÃE;2022;Arranjos Regionais;Misto FSA+Renúncia;3.5;1;;;24.0;;0;0;0;0
B2200259700000;PLAUTO, UM  SOPRO MUSICAL;2022;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300006800000;SINDICATO DO FOLCLORE BRASILEIRO;2022;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300007600000;TODA NOITE ESTAREI LÁ;2022;Arranjos Regionais;FSA puro;0.0;0;;;;Q128629680;0;0;0;0
B2200210800000;UM SAMURAI EM SÃO PAULO;2022;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;0.0;;;;0;0;0;0
B2200040500000;VALE NIGHT;2022;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;95.0;;0;0;0;0
B2200426400000;VIDA DE ORQUESTRA;2022;Arranjos Regionais;Misto FSA+Renúncia;3.2;1;0.0;;;;0;0;0;0
B2200458400000;VIZINHOS;2022;Arranjos Regionais;Misto FSA+Renúncia;3.7;2;;;844.0;Q113988409;2;1;7104;2
B2200324500000;ZOOPEDIA;2022;Arranjos Regionais;FSA puro;0.0;0;1.0;0.0;;;0;0;0;0
B2300552600000;AVENTURAS DE AMÍ - 2º TEMPORADA;2023;Arranjos Regionais;FSA puro;3.213;2;;;;;0;0;0;0
B2300142500000;CAINÃ;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300422000000;CARTÓRIO DAS ALMAS;2023;Arranjos Regionais;FSA puro;2.975;2;;;5.0;;0;0;0;0
B2300502400000;CHAMA A BEBEL;2023;Arranjos Regionais;FSA puro;0.0;0;;;26.0;;0;0;0;0
B2300095100000;COLETIVOS;2023;Arranjos Regionais;FSA puro;0.0;0;7.0;2.0;;;0;0;0;0
B2300433200000;DENTRO DE MIM;2023;Arranjos Regionais;FSA puro;4.2;1;;;;;0;0;0;0
B2300565300000;DESTINOS DA FÉ;2023;Arranjos Regionais;Misto FSA+Renúncia;3.8;2;15.0;18.0;;;0;0;0;0
B2300529200000;DIAS DE TEMPESTADE;2023;Arranjos Regionais;FSA puro;4.5;1;;;;;0;0;0;0
B2300557100000;GUIA;2023;Arranjos Regionais;Misto FSA+Renúncia;4.5;1;0.0;;;;0;0;0;0
B2300242000000;INVASÃO MARCIANA;2023;Arranjos Regionais;FSA puro;3.865;2;;;;;0;0;0;0
B2300108000000;IYAS IDANAS - MULHERES DA COZINHA;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300136800000;JANGADEIROS DA SÃO PEDRO;2023;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2300252300000;LUTA DA ERVA;2023;Arranjos Regionais;FSA puro;4.45;2;;;;;0;0;0;0
B2300154100000;MAMULENGO;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300377600000;MARRAIA;2023;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2300550100000;O CANTO;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300527700000;O IMPEACHMENT - SETEMBRO, 1957, SEXTA-FEIRA 13;2023;Arranjos Regionais;FSA puro;4.008;2;;;;;0;0;0;0
B2300131300000;O POETA QUE VEIO DO POVO;2023;Arranjos Regionais;FSA puro;0.0;0;0.0;;;;0;0;0;0
