diretor;diretor_norm;n_obras_fomento;ano_primeira_obra;ano_ultima_obra;n_obras_fsa;n_obras_renuncia;investimento_fsa_deflac;investimento_total_deflac;bilheteria_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_intl_medio;pontuacao_festivais_max;pontuacao_festivais_media;adm_eu_total;critica_media;categoria_principal;genero_diretor;diversidade_regional;cita_n_papers;cita_soma_citacoes;wikidata_id;prestigio_festiv;prestigio_filmes;fest_diretor_norm;fest_n_participacoes_total;fest_n_festivais_especial;fest_n_festivais_aa;fest_n_competicao_principal;fest_n_secao_paralela;fest_n_premios;fest_tem_curta_festival;fest_tem_longa_festival;fest_melhor_nivel;fest_primeiro_festival_ano;fest_ultimo_festival_ano;fest_festivais_lista;fest_n_festivais_distintos;fest_n_cannes;fest_n_berlim;fest_n_veneza;fest_n_oscar;fest_n_sundance;fest_n_rotterdam;fest_n_tiff;fest_n_locarno;fest_n_san_sebastian;fest_n_idfa;fest_n_annecy;fest_n_karlovy_vary
JOSE BELISARIO CABO PENNA FRANCA;JOSE BELISARIO CABO PENNA FRANCA;68;2015.0;2023.0;22;7;28705430.81;37464261.16;194366.76;4013452.85;4207819.61;95.4;0.1466;0.1123;0.0;0.0;0.0;0;3.824;_tv_excluir;;;16.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MORACY JACQUES JUNIOR;MORACY JACQUES JUNIOR;68;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIGUEL ARRAES DE ALENCAR FILHO;MIGUEL ARRAES DE ALENCAR FILHO;67;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO TALMA VIEIRA;ROBERTO TALMA VIEIRA;66;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDO YOUNG BRASILEIRO;FERNANDO YOUNG BRASILEIRO;66;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAX NORDAN DE REZENDE ALVIM JUNIOR;MAX NORDAN DE REZENDE ALVIM JUNIOR;65;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAFAEL DE PAULA RODRIGUES;RAFAEL DE PAULA RODRIGUES;64;2016.0;2023.0;3;0;1686922.17;1686922.17;0.0;809383.44;809383.44;100.0;0.4798;0.4798;0.0;0.0;0.0;0;3.9;_tv_excluir;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARCELO DE OLIVEIRA AMIKY;MARCELO DE OLIVEIRA AMIKY;64;2018.0;2018.0;1;0;1406016.04;1406016.04;0.0;111375.52;111375.52;100.0;0.0792;0.0792;0.0;0.0;0.0;0;;_tv_excluir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUSANA MARA DA SILVA LIRA;SUSANA MARA DA SILVA LIRA;62;2016.0;2023.0;11;11;8096012.93;35692310.42;178840.48;2775155.66;2953996.14;93.9;0.3649;0.0828;0.25;26.0;1.24;0;3.733;_tv_excluir;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAULA MAFRA LAVIGNE;PAULA MAFRA LAVIGNE;61;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANIEL PAULO DOS SANTOS;DANIEL PAULO DOS SANTOS;61;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RICARDO CAPILLE WADDINGTON;RICARDO CAPILLE WADDINGTON;59;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRUNO BIAR MURTINHO BRAGA;BRUNO BIAR MURTINHO BRAGA;59;2018.0;2018.0;1;1;1297707.63;3149325.65;29482.04;0.0;29482.04;0.0;0.0227;0.0094;0.0;0.0;0.0;0;;FSA Pontuação Bilheteria e Roteiro — Produtora;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDUARDO RAMOS GONCALVES;EDUARDO RAMOS GONCALVES;59;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO HELENE DAVILA;ROBERTO HELENE DAVILA;59;2015.0;2023.0;4;11;12656966.2;43822993.68;0.0;1437837.36;1437837.36;100.0;0.1136;0.0328;0.0;0.0;0.0;0;3.809;Renúncia — Art.3/3-A/39;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RODRIGO ADOLFO VEIRANO ASTIZ;RODRIGO ADOLFO VEIRANO ASTIZ;57;2015.0;2023.0;0;28;0.0;104721542.17;0.0;3259545.04;3259545.04;100.0;;0.0311;0.0;0.0;0.0;0;3.98;Renúncia — Art.3/3-A/39;;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAURICIO CHICHARO DE FARIAS;MAURICIO CHICHARO DE FARIAS;57;2015.0;2019.0;1;1;1580544.0;8692992.0;20876942.24;416032.68;21292974.92;2.0;13.4719;2.4494;0.0;0.0;0.0;0;3.922;Renúncia — Art.3/3-A/39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RODRIGO GIANNETTO;RODRIGO GIANNETTO;56;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HENRIQUE MARTINS DE OLIVEIRA ALQUALO;HENRIQUE MARTINS DE OLIVEIRA ALQUALO;55;2017.0;2017.0;1;0;1011080.7;1011080.7;0.0;404432.28;404432.28;100.0;0.4;0.4;0.0;0.0;0.0;0;;_tv_excluir;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GABRIELA CAMPOS GASTAL;GABRIELA CAMPOS GASTAL;54;2016.0;2023.0;1;3;790272.0;10706061.0;0.0;1014694.3;1014694.3;100.0;1.284;0.0948;0.0;0.0;0.0;0;3.791;Renúncia — Art.3/3-A/39;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATIANA DUARTE ISSA;TATIANA DUARTE ISSA;53;2016.0;2023.0;5;7;6780185.46;18677666.58;0.0;879795.04;879795.04;100.0;0.1298;0.0471;0.0;0.0;0.0;0;3.837;Renúncia — Art.3/3-A/39;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUCIANO OREGGIA;LUCIANO OREGGIA;52;2015.0;2023.0;0;7;0.0;6069844.95;0.0;967666.96;967666.96;100.0;;0.1594;0.0;0.0;0.0;0;3.983;Renúncia — Outros Mecanismos;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDO MÁRCIO GOMES DA SILVA;FERNANDO MARCIO GOMES DA SILVA;52;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JOSE MARCIO NICOLOSI DE MELO;JOSE MARCIO NICOLOSI DE MELO;51;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JOSE ALVARENGA JUNIOR;JOSE ALVARENGA JUNIOR;50;2018.0;2018.0;0;3;0.0;20458991.18;1069464.48;1120716.17;2190180.65;51.2;;0.1071;0.53;4.0;2.67;0;2.4;Renúncia — Art.3/3-A/39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROMULO MENESCAL DE SOUZA;ROMULO MENESCAL DE SOUZA;50;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAYME MONJARDIM MATARAZZO;JAYME MONJARDIM MATARAZZO;50;2016.0;2018.0;0;2;0.0;13975984.49;13605693.08;208031.24;13813724.32;1.5;;0.9884;5.88;0.0;0.0;5727;3.595;Renúncia — Art.3/3-A/39;;;;;Q594771;Oscar;Olga;;;;;;;;;;;;;;;;;;;;;;;;;;
DANIEL GONCALVES PEREIRA;DANIEL GONCALVES PEREIRA;49;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAURICIO ARTACHO D ALMEIDA ECA;MAURICIO ARTACHO D ALMEIDA ECA;49;2014.0;2023.0;1;4;59333.78;7534069.97;103377968.12;1139345.0;104517313.12;1.1;1761.5145;13.8726;0.0;0.0;0.0;0;3.416;Renúncia — Art.3/3-A/39;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLAUDIA MARIA OLIVEIRA MARQUES PEREIRA;CLAUDIA MARIA OLIVEIRA MARQUES PEREIRA;48;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDUARDO SMITH DE VASCONCELLOS SUPLICY;EDUARDO SMITH DE VASCONCELLOS SUPLICY;48;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
