CPB;titulo;ano;chamada;categoria;investimento_fsa_nominal;investimento_renuncia_art3_nominal;investimento_renuncia_outros_nominal;investimento_fsa_deflac;investimento_renuncia_total_deflac;investimento_total_deflac;bilheteria_nominal;bilheteria_deflac;outras_janelas_nominal;outras_janelas_deflac;receita_total_deflac;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;paises_festivais;paises_lumiere;paises_vod_europa;paises_lista;critica_indice_1_5;critica_fontes;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;cita_venues;prestigio_festiv;wikidata_id_dir;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;imdb_genres;imdb_runtime;prestigio_festivais;n_diretores;investimento_total_nominal;roi_dom_fsa_nominal;roi_dom_total_nominal
B1402203900000;BRINCANTE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;1400000.0;0.0;2448863.2;2448863.2;90976.77;142380.56;60000;104951.28;142380.56;0.0;0.0581;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;01.378.559/0001-12;;;;;;;;;;1400000.0;;0.1078
B1402830300000;CAMISA OFICIAL;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;104951.28;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;08.346.159/0001-74;;;;;;;;;;0.0;;
B1402244100000;CARLOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;922583.0;0.0;1613771.11;1613771.11;0.0;0.0;360000;629707.68;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;08.378.645/0001-74;;;;;;;;;;922583.0;;0.3902
B1500245000000;CAROL LEVY CONTAROLANDO;2014;;Renúncia — Art.3/3-A/39;0.0;650000.0;0.0;0.0;1136972.2;1136972.2;0.0;0.0;80000;139935.04;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.3;adoro_usuario;1;baixa;;;;;;;04.490.617/0001-93;;;;;;;;;;650000.0;;0.1231
B1402798600000;CARRAPATOS E CATAPULTAS - 2A TEMPORADA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;140000;244886.32;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;1.0;0.0;0.0;;;;06.768.153/0001-60;;;;;;;;;;0.0;;
B1402144900000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;0.0;80000.0;301302.45;0.0;666969.67;666969.67;17830.08;26082.56;60000;104951.28;26082.56;0.0;0.0391;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;00.508.766/0001-81;;;;;;;;;;381302.45;;0.2041
B1402750200000;CATIVAS - PRESAS PELO CORAÇÃO;2014;;Renúncia — Art.3/3-A/39;0.0;80000.0;301302.45;0.0;666969.67;666969.67;17830.08;26082.56;0;0.0;26082.56;0.0;0.0391;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;00.508.766/0001-81;;;;;;;;;;381302.45;;0.0468
B1600340900000;CINZENTO E NEGRO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120000;209902.56;0.0;0.0;;2.0;0.0;0;1;1;0;;;;;3.893;adoro_critico|adoro_usuario;2;media;;;;;;;73.586.513/0001-08;;;;;;;;;;0.0;;
B1402246700000;CONSELHO TUTELAR;2014;;Renúncia — Art.3/3-A/39;0.0;2249664.41;0.0;0.0;3935085.99;3935085.99;0.0;0.0;140000;244886.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;28.629.780/0001-52;;;;;;;;;;2249664.41;;0.0622
B1402145700000;COPA DE ELITE;2014;;Renúncia — Art.3/3-A/39;0.0;2879535.11;40591.89;0.0;5107851.11;5107851.11;8058713.16;13046190.36;425000;743404.9;13046190.36;0.0;2.5541;0.0;0.0;0;0;0;0;;;;;2.2;adoro_usuario;1;baixa;;;;;;;02.140.164/0001-40;;;;;;;;;;2920127.0;;2.9053
B1500614800000;DAS PROFUNDEZAS;2014;;Renúncia — Outros Mecanismos;0.0;0.0;67424.31;0.0;117937.79;117937.79;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;2.0;0.0;0.0;Revista FAMECOS;;;00.563.081/0001-38;;;;;;;;;;67424.31;;0.8899
B1402183000000;DEMOCRACIA EM PRETO E BRANCO;2014;;Renúncia — Art.3/3-A/39;0.0;235000.0;275615.0;0.0;893161.63;893161.63;15644.72;25327.12;125000;218648.5;25327.12;0.0;0.0284;0.0;0.0;0;0;0;0;;;;;4.165;adoro_critico|adoro_usuario;2;alta;;;;;;;03.360.320/0001-40;;;;;;;;;;510615.0;;0.2754
B1402284400000;DESCALÇO SOBRE A TERRA VERMELHA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;720000.0;0.0;1259415.36;1259415.36;0.0;0.0;80000;139935.04;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.883;adoro_critico|adoro_usuario;2;media;;;;;;;44.154.342/0001-31;;;;;;;;;;720000.0;;0.1111
B1402189000000;DESTINO BRASIL DANÇA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;745000.0;0.0;1303145.06;1303145.06;0.0;0.0;280000;489772.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;05.643.831/0001-03;;;;;;;;;;745000.0;;0.3758
B1500112600000;DESTINO MÁGICO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80000;139935.04;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;11.717.663/0001-48;;;;;;;;;;0.0;;
B1500335800000;DIVÃ A 2;2014;;Renúncia — Art.3/3-A/39;0.0;504514.98;715000.0;0.0;2133160.97;2133160.97;2262612.69;3309841.08;125000;218648.5;3309841.08;0.0;1.5516;0.0;0.0;0;0;0;0;;;;;3.5;adoro_usuario;1;baixa;;;;;;;02.863.008/0001-07;;;;;;;;;;1219514.98;;1.9578
B1402150700000;DO LADO DE FORA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;642700.0;0.0;1124203.13;1124203.13;122382.48;198124.08;60000;104951.28;198124.08;0.0;0.1762;15.35;0.0;81109;0;0;0;;;;;3.7;adoro_usuario;1;baixa;3.0;0.0;0.0;Paralelo 31 | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Latitude;;;05.045.517/0001-10;;;;;;;;;;642700.0;;0.2838
B1402732100000;DO NEBLINA AO ATLÂNTICO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;03.767.502/0001-30;;;;;;;;;;0.0;;
B1402161500000;DOMINGUINHOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;774373.5;0.0;1354524.83;1354524.83;126279.01;204366.4;205000;358583.54;204366.4;0.0;0.1509;0.0;0.0;0;0;0;0;;;;;0.0;;0;;2.0;0.0;0.0;DOC online - Revista Digital de Cinema Documentário;;;06.323.379/0001-57;;;;;;;;;;774373.5;;0.4278
B1402368100000;DUAS PÁTRIAS, DOIS AMORES;2014;;Renúncia — Outros Mecanismos;0.0;0.0;500000.0;0.0;874594.0;874594.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.775;adoro_critico;1;alta;0.0;;;;;;32.267.676/0001-32;;;;;;;;;;500000.0;;0.0
B1402130700000;EL ARDOR;2014;;Renúncia — Art.3/3-A/39;0.0;277500.0;0.0;0.0;485399.67;485399.67;3299.4;4651.92;65000;113697.22;4651.92;0.0;0.0096;12.3;11.5;0;46;8;0;;;;;0.0;;0;;;;;;;;02.140.120/0001-10;;;;;;;;;;277500.0;;0.2461
B1402707600000;ENCANTADOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;5398087.77;0.0;9442270.35;9442270.35;113067.88;149696.4;140000;244886.32;149696.4;0.0;0.0159;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;00.193.157/0001-80;;;;;;;;;;5398087.77;;0.0469
B1402687700000;ENTRE FRONTEIRAS ÁFRICA 2;2014;;Renúncia — Art.3/3-A/39;0.0;1985500.0;0.0;0.0;3473012.77;3473012.77;0.0;0.0;140000;244886.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;00.669.963/0001-82;;;;;;;;;;1985500.0;;0.0705
B1402246100000;EXPERIMENTOS EXTRAORDINÁRIOS;2014;;Renúncia — Art.3/3-A/39;0.0;2666892.25;0.0;0.0;4664895.92;4664895.92;0.0;0.0;140000;244886.32;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.928;adoro_critico|adoro_usuario;2;alta;;;;;;;16.729.130/0001-08;;;;;;;;;;2666892.25;;0.0525
B1500778100000;FERNANDO DE NORONHA - OBSERVATÓRIO DA NATUREZA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;370000.0;0.0;647199.56;647199.56;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;04.524.792/0001-54;;;;;;;;;;370000.0;;0.1622
