cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B2000180800000;12 MOEDAS;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1155868.92
B2000143100000;A DIVISÃO - 2ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2000499400000;ACADEMIA DE GIUSEPPE;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1647137.24
B2000295000000;AS GRANDES RIVALIDADES DO MMA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1942765.26
B2000211700000;AUTO POSTO - 1ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2000474800000;BELEZA GG -SEGUNDA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1839297.07
B2000454900000;CIDADES POSSÍVEIS;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1455725.28
B2000323600000;CONFISCO;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);719449.76
B2000290500000;COROANDO;2020;Renúncia — Art.3/3-A/39;OUTROS MERCADOS - VÍDEO POR DEMANDA;191542.8
B2000201900000;CORPOS PERIFÉRICOS;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);213237.6
B2000312500000;DNA ABDELMASSIH;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2043123.2
B2000383500000;DRA. DARCI - 3ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2615748.84
B2200306200000;DRAG ME AS A QUEEN – QUARTA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3213454.91
B2000229200000;ESCOLA DE GÊNIOS - SEXTA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3830856.0
B2000080900000;ESPÍRITO DA LUTA 2ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3830856.0
B2000417200000;EXTERMINADORES DO ALÉM;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);6005269.02
B2000243800000;FRONTEIRAS DO PENSAMENTO - 2ª TEMPORADA;2020;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);619321.72
B2000036900000;FÉRIAS EM FAMÍLIA - 2ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2999562.55
B2000028300000;GABRIEL MEDINA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);559906.92
B2000361000000;GUATÓ: UMA REMADA NO TEMPO;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);331080.33
B2000072100000;GUI E ESTOPA 5ª TEMPORADA;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);938367.09
B2000362200000;GUIA POLITICAMENTE INCORRETO II;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1963573.82
B2000162700000;IDEIAS PARA O MUNDO;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);973751.24
B2100261900000;INSÂNIA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);11106368.27
B2000484600000;JOVENS GUERREIROS;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1865077.03
