cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
03675713000143;2;2;1.0;2565044.13;10040874.27;12605918.399999999;532898.7999999999;430163.44;0.04227369899522751;0.0;0.0;0;2014.0;2015;2022;False;False;SP;CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME;SP;Fomento Baixo Retorno;2002;True
05270790000149;6;6;1.0;3093079.5;9446731.98;12539811.48;1126263.97;493262.56000000006;0.08981506395022774;0.0;0.0;0;24569.0;2017;2023;False;False;RS;ACCORDE FILMES LTDA.;RS;Fomento Baixo Retorno;1996;True
02298682000196;3;3;1.0;5754308.96;6750209.49;12504518.45;362713.26;62741.28;0.029006575619071523;0.0;0.0;0;3001.0;2018;2023;False;False;RJ;KINOTV LTDA.;RJ;Fomento Baixo Retorno;1968;True
02008424000128;2;2;1.0;7551618.88;4896939.47;12448558.35;12862589.12;12468199.24;1.033259334804821;0.0;0.0;0;627173.0;2016;2020;False;False;CE;ATC ENTRETENIMENTOS LTDA.;CE;Retorno Doméstico;2002;True
27920016000179;4;4;1.0;5557297.65;6785914.88;12343212.530000001;2805367.6;2219442.96;0.22728018278722775;0.0;0.0;0;111553.0;2015;2023;False;False;RJ;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;RJ;Fomento Baixo Retorno;1980;True
09107296000119;5;5;1.0;6574688.99;5711513.0600000005;12286202.05;1176131.24;176733.2;0.09572781199703613;0.33999999999999997;1.7;1;7736.0;2015;2023;False;False;RJ;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;RJ;Fomento Baixo Retorno;1994;True
09506070000190;2;1;0.5;4176582.0;7670308.989999999;11846890.99;43103579.12;42916725.32;3.6383874179634024;2.7;2.7;1;2158789.0;2019;2021;False;False;SP;QUINTAL DIGITAL PRODUÃÃES LTDA;SP;Retorno Doméstico;2009;False
13110657000153;7;6;0.8571428571428571;0.0;11777192.450000001;11777192.450000001;4896221.339999999;3113386.9200000004;0.4157375674030018;0.0;0.0;0;36352.0;2014;2023;False;True;RJ;MEDIA BRIDGE PRODUÇÕES LTDA.;RJ;Fomento Baixo Retorno;2011;False
07949950000106;1;1;1.0;4283274.24;7479665.33;11762939.57;11437419.36;11221802.76;0.9723266273653057;15.65;15.65;1;564477.0;2016;2016;False;False;SP;BRVR FILMES LTDA;SP;Duplo Retorno;2006;False
64047665000133;2;2;1.0;2113312.95;9404236.8;11517549.75;11409522.879999999;10413780.16;0.9906206725957488;21.2;28.49;2;523832.0;2015;2015;False;False;SP;ÁFRICA FILMES LTDA;SP;Duplo Retorno;1992;True
01369211000169;8;8;1.0;6907683.11;4531985.0;11439668.11;3852898.58;660473.24;0.3368016049899196;1.35;5.4;4;33122.0;2014;2023;False;False;RJ;REPÚBLICA PUREZA FILMES LTDA.;RJ;Fomento Baixo Retorno;1995;True
27872415000101;2;2;1.0;6228252.94;4942681.38;11170934.32;4635326.160000001;4257938.16;0.41494525231440094;0.0;0.0;0;214182.0;2017;2023;False;False;SP;DUETO PRODUÇÕES E PUBLICIDADES LTDA;SP;Fomento Baixo Retorno;1996;True
55084750000180;3;2;0.6666666666666666;9805161.74;1334670.0;11139831.74;540320.2;353466.39999999997;0.04850344355380721;0.0;0.0;0;17780.0;2018;2023;False;False;DF;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;DF;Fomento Baixo Retorno;1998;True
07630900000161;2;2;1.0;3838558.5;7294203.0;11132761.5;2026967.54;1774309.88;0.18207230434245808;0.0;0.0;0;89251.0;2019;2022;False;False;RJ;HUNGRY MAN BRASIL PRODUÇÕES LTDA.;RJ;Fomento Baixo Retorno;2010;False
08517383000181;2;2;1.0;6531304.57;4341671.1;10872975.670000002;2590763.84;2361584.96;0.23827551156471957;0.0;0.0;0;118792.0;2015;2022;False;False;SP;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;SP;Fomento Baixo Retorno;2004;True
06945371000122;2;2;1.0;4009670.49;6769536.6;10779207.09;5602092.18;5166891.52;0.5197128261128899;0.0;0.0;0;3610.0;2014;2020;False;False;SP;SPRAY FILMES S.A.;SP;Fomento Baixo Retorno;2002;True
04350398000147;5;5;1.0;3429171.0;6806516.29;10235687.29;792361.42;608308.12;0.07741164785037118;0.0;0.0;0;1548.0;2015;2022;False;False;SP;CANAL AZUL CONSULTORIA AUDIOVISUAL - EIRELI;SP;Fomento Baixo Retorno;2002;True
01803185000135;2;2;1.0;4325283.1;5735877.75;10061160.85;324243.69999999995;48169.240000000005;0.03222726530607052;0.0;0.0;0;2423.0;2016;2019;False;False;RJ;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;RJ;Fomento Baixo Retorno;2000;True
19478327000100;2;2;1.0;1048300.0;9011272.55;10059572.55;1904079.35;1810193.28;0.18928034372593694;0.0;0.0;0;1384.0;2017;2023;False;False;RJ;LUPA FILMES LTDA;RJ;Fomento Baixo Retorno;2016;False
02282322000104;2;2;1.0;5111213.25;4904587.29;10015800.54;801589.7600000001;95264.96;0.08003252029617597;0.0;0.0;0;4792.0;2014;2020;False;False;RJ;KINOSSAURUS FILMES LTDA.;RJ;Fomento Baixo Retorno;1970;True
07276440000115;1;1;1.0;5204538.5;4762979.86;9967518.36;10366902.280000001;10270246.56;1.040068541193036;0.0;0.0;0;516612.0;2016;2016;False;False;SP;CLUBTV PRODUÇÕES E ENTRETENIMENTO EIRELI;SP;Retorno Doméstico;2006;False
04768987000140;1;1;1.0;0.0;9941371.54;9941371.54;10115741.55;9906303.4;1.0175398343476458;0.9;0.9;1;0.0;2017;2017;False;True;SP;LATINAMERICA ENTRETENIMENTO EIRELI;SP;Retorno Doméstico;2006;False
06096915000129;2;2;1.0;8556867.14;1346786.4;9903653.540000001;107514.6;27434.4;0.010856054239554911;0.0;0.0;0;1380.0;2019;2023;False;False;SP;MIRAÇÃO FILMES LTDA;SP;Fomento Baixo Retorno;1999;True
05626923000177;1;1;1.0;4176582.0;5661763.74;9838345.74;307956.96;224425.32;0.03130170133663142;0.0;0.0;0;11289.0;2018;2018;False;False;SP;DAMASCO FILMES LTDA;SP;Fomento Baixo Retorno;2011;False
03093490000106;2;2;1.0;6112965.63;3429780.48;9542746.11;972025.7999999999;245299.32;0.10186017617941215;3.95;5.5;2;5074.0;2015;2023;False;False;DF;MERCADO CULTURAL LTDA EPP;DF;Fomento Baixo Retorno;2010;False
22071805000169;1;1;1.0;1805501.25;7693037.88;9498539.13;80298.87999999999;218.68;0.008453813676082628;0.0;0.0;0;11.0;2019;2019;False;False;GO;CRISGE - PRODUCOES AUDIOVISUAIS LTDA - ME;;Fomento Baixo Retorno;2018;False
00193157000180;1;1;1.0;0.0;9442270.35;9442270.35;394582.72;149696.4;0.041788966569888564;0.0;0.0;0;0.0;2014;2014;False;True;RJ;SCENA FILMES LTDA;RJ;Fomento Baixo Retorno;1996;True
07627467000105;2;2;1.0;0.0;9400078.85;9400078.85;5734781.32;5442547.600000001;0.6100780016329331;0.0;0.0;0;272921.0;2016;2020;False;True;SP;WRITE PRODUÇÕES ARTÍSTICAS LTDA;SP;Retorno Doméstico;2008;False
36472587000189;1;1;1.0;0.0;9379693.64;9379693.64;325453.66000000003;117272.12;0.03469768549924622;0.0;0.0;0;0.0;2016;2016;False;True;RJ;VOGLIA PRODUÃÃES ARTÃSTICAS LTDA;RJ;Fomento Baixo Retorno;2008;False
08991631000121;2;2;1.0;2002005.0;7277360.22;9279365.219999999;198625.9;49063.84;0.021405117191841707;0.0;0.0;0;182.0;2017;2023;False;False;PE;99 PRODUCOES ARTISTICAS LTDA;;Fomento Baixo Retorno;2016;False
05456798000102;2;2;1.0;3679656.54;5570694.91;9250351.45;386581.52;206394.15999999997;0.04179100892431498;0.0;0.0;0;5158.0;2016;2018;False;False;RS;WALPER RUAS PRODUÇÕES LTDA;RS;Fomento Baixo Retorno;2004;True
01125538000195;3;3;1.0;7000463.359999999;1921053.33;8921516.69;871144.1200000001;187547.92;0.09764529398644214;7.766666666666667;10.2;3;9434.0;2017;2019;False;False;RJ;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;RJ;Fomento Baixo Retorno;2003;True
02395043000149;3;3;1.0;3421295.91;5387200.800000001;8808496.709999999;752067.68;89479.88;0.08537979915985007;0.0;0.0;0;4501.0;2017;2022;False;False;SP;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;SP;Fomento Baixo Retorno;1999;True
54836861000133;1;1;1.0;0.0;8738626.05;8738626.05;1157296.67;947858.52;0.13243462569267395;0.0;0.0;0;0.0;2017;2017;False;True;SP;PA PRODUTORES ASSOCIADOS LTDA;SP;Fomento Baixo Retorno;1951;True
11280934000140;1;1;1.0;1883094.31;6822336.4;8705430.71;321427.68;174665.68;0.03692266249741938;0.0;0.0;0;8786.0;2023;2023;False;False;SP;LIGHTHOUSE PRODUÇÕES CINEMATOGRÁFICAS LTDA.;SP;Fomento Baixo Retorno;2015;False
15479865000150;1;1;1.0;4333203.0;4333203.0;8666406.0;2249947.53;1722741.16;0.2596171388693306;0.0;0.0;0;86657.0;2017;2017;False;False;SP;SANTA RITA FILMES EIRELI - ME;SP;Fomento Baixo Retorno;2013;False
01478079000123;2;2;1.0;0.0;8580423.030000001;8580423.030000001;11850925.52;11364481.520000001;1.3811586536660534;0.0;0.0;0;587.0;2015;2021;False;True;SP;BLACK MARIA FILME VIDEO DIGITAL EIRELI;SP;Retorno Doméstico;2005;True
37981206000150;3;3;1.0;3722427.11;4824020.89;8546448.0;388208.9199999999;133215.87999999998;0.045423422689753676;0.0;0.0;0;59.0;2015;2019;False;False;DF;ASACINE PRODUÇÕES EIRELI;DF;Fomento Baixo Retorno;1993;True
02736672000195;1;1;1.0;3762996.61;4780248.0;8543244.61;1359702.76;1275838.76;0.15915531183649442;0.0;0.0;0;64177.0;2023;2023;False;False;SP;BRONZE FILMES PRODUTORA LTDA;SP;Fomento Baixo Retorno;2019;False
22331409000123;2;1;0.5;2202205.5;6127230.65;8329436.15;522911.62;164328.08;0.06277875363748361;0.0;0.0;0;0.0;2014;2020;False;False;MG;QUIMERA FILMES LTDA;MG;Fomento Baixo Retorno;1979;True
56839830000161;1;1;1.0;2623782.0;5634967.2;8258749.2;586427.52;262416.0;0.07100682025796352;0.0;0.0;0;13200.0;2015;2015;False;False;SP;PULSAR PRODUCOES ARTISTICAS E CULTURAIS - EIRELI;SP;Fomento Baixo Retorno;2007;False
08427088000134;2;2;1.0;2505949.2;5668801.79;8174750.99;8596379.540000001;8215390.12;1.0515769288282628;1.5;3.0;1;413249.0;2017;2020;False;False;RJ;DE FELIPPES FILMES E PRODUÇÕES LTDA;RJ;Retorno Doméstico;2013;False
05387293000125;4;4;1.0;0.0;8109109.72;8109109.72;22057752.919999998;20589179.240000002;2.720120171218993;0.2;0.8;1;40107.0;2014;2022;False;True;SP;CAMISA TREZE CULTURAL LTDA;SP;Retorno Doméstico;2009;False
23723437000159;1;1;1.0;4333203.0;3744707.69;8077910.689999999;405412.36;126973.56;0.050187774482562404;0.0;0.0;0;6387.0;2018;2018;False;False;SP;LOMA FILMES LTDA;SP;Fomento Baixo Retorno;2016;False
04453786000153;1;1;1.0;0.0;8050704.24;8050704.24;7754634.58;7501002.32;0.9632243774986821;0.0;0.0;0;0.0;2014;2014;False;True;RJ;PINDORAMA FILMES LTDA;RJ;Retorno Doméstico;1994;True
04980287000114;6;6;1.0;5418022.880000001;2526373.2;7944396.08;468669.66;127768.76;0.05899374292022962;1.6666666666666667;10.0;1;6427.0;2016;2022;False;False;RS;PANDA FILMES LTDA;RS;Fomento Baixo Retorno;2002;True
09124563000166;2;2;1.0;1948549.51;5938323.83;7886873.34;499905.9;24790.36;0.06338454777314834;5.755;11.51;1;1247.0;2016;2019;False;False;BA;SANTA LUZIA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;BA;Fomento Baixo Retorno;2007;False
01378559000201;1;1;1.0;0.0;7823692.8;7823692.8;67514594.56;67190583.04;8.629504798552418;0.0;0.0;0;0.0;2015;2015;False;True;RJ;GULLANE ENTRETENIMENTO S.A;RJ;Retorno Doméstico;2013;False
18082113000149;2;2;1.0;0.0;7813898.99;7813898.99;32059200.189999998;31780148.12;4.102842925283322;0.0;0.0;0;1598599.0;2017;2021;False;True;SP;FORMATA PRODUCOES E CONTEUDO LTDA.;SP;Retorno Doméstico;2015;False
13631016000144;2;2;1.0;4118598.94;3687290.39;7805889.33;22325.24;22325.24;0.00286005079705633;0.0;0.0;0;1123.0;2021;2023;False;False;DF;MACHADO FILMES E PRODUÇÕES LTDA;DF;Fomento Baixo Retorno;2011;False
32267676000132;3;2;0.6666666666666666;3161088.0;4637990.0;7799078.0;4756367.81;4019258.88;0.6098628337862501;0.0;0.0;0;200477.0;2014;2017;False;False;RJ;CARIBE PRODUÇÕES LTDA ME;RJ;Retorno Doméstico;1974;True
12375637000141;3;3;1.0;4242144.98;3460133.8;7702278.780000001;1262837.86;163652.16;0.16395639473335188;0.0;0.0;0;6694.0;2016;2018;False;False;RJ;DOIS MOLEQUES PRODUÇÕES LTDA;RJ;Fomento Baixo Retorno;2014;False
39527494000100;1;1;1.0;1918844.84;5777604.0;7696448.84;1141705.1800000002;939489.04;0.14834181370326632;0.0;0.0;0;47258.0;2017;2017;False;False;RJ;REGINALDO FARIA PRODUÇÕES ARTÍSTICAS LTDA.;RJ;Fomento Baixo Retorno;2017;False
09095244000170;1;1;1.0;3780942.18;3830856.0;7611798.18;3006372.88;3006372.88;0.39496224267995506;0.0;0.0;0;151226.0;2020;2020;False;False;RJ;RACONTO PRODUCOES ARTISTICAS LTDA;RJ;Fomento Baixo Retorno;2007;False
09281789000170;2;2;1.0;0.0;7555287.6;7555287.6;275930.24;19462.52;0.03652147404686487;0.0;0.0;0;415.0;2019;2021;False;True;SP;POPCON PRODUÃÃES LTDA;SP;Fomento Baixo Retorno;2008;False
11503567000105;1;1;1.0;1155520.8;6264845.16;7420365.96;954184.0;759276.84;0.12858988426495344;0.0;0.0;0;38193.0;2018;2018;False;False;SP;CHOCOLATE FILMES EIRELI;SP;Fomento Baixo Retorno;2007;False
31179864000146;3;3;1.0;2947699.34;4472512.1899999995;7420211.529999999;1508309.9700000002;509067.16000000003;0.20327048142790619;3.0666666666666664;9.2;1;19140.0;2015;2023;False;False;RJ;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;RJ;Fomento Baixo Retorno;1986;True
87435368000160;2;2;1.0;4930819.44;2393181.49;7324000.930000001;451561.6;61747.28;0.06165504405527157;0.0;0.0;0;3106.0;2015;2018;False;False;RS;OTTO DESENHOS ANIMADOS LTDA;RS;Fomento Baixo Retorno;1984;True
40447906000173;1;1;1.0;0.0;7294113.96;7294113.96;689426.5;330842.96;0.09451819697097247;0.0;0.0;0;0.0;2014;2014;False;True;RJ;SANDRA WERNECK T. DE SOUZA PRODUÇOES CINEMATOGRAFICAS EIRELI.;RJ;Fomento Baixo Retorno;1980;True
02231569000193;2;2;1.0;5220727.5;2040208.51;7260936.01;36479.8;36479.8;0.005024118095760494;0.0;0.0;0;1835.0;2022;2023;False;False;SP;UM FILMES LTDA;SP;Fomento Baixo Retorno;1990;True
11000556000102;1;1;1.0;0.0;7238245.84;7238245.84;192339.0;192339.0;0.02657259842392974;7.1;7.1;1;9675.0;2017;2017;False;True;SP;SANCHO FILMES LTDA ME.;;Fomento Baixo Retorno;2011;False
11140814000148;2;2;1.0;2888802.0;4346041.71;7234843.71;708502.04;127232.0;0.09792914241128783;0.0;0.0;0;663.0;2018;2019;False;False;SP;PARANOID FILMES LTDA;SP;Fomento Baixo Retorno;2010;False
02625405000140;1;1;1.0;0.0;7137652.8;7137652.8;29680.84;29680.84;0.004158347405186198;0.0;0.0;0;0.0;2016;2016;False;True;SP;MASTER SHOT PRODUCOES EIRELI - ME.;SP;Fomento Baixo Retorno;1995;True
01713311000160;1;1;1.0;3755590.2;3089240.93;6844831.130000001;878069.3600000001;668166.8;0.12828210708537963;24.12;24.12;1;33610.0;2014;2014;False;False;RJ;TRES MUNDOS CINE Y VIDEO LTDA.;RJ;Retorno Internacional;2004;True
04650621000171;3;3;1.0;678007.53;6163801.32;6841808.850000001;155208.2;60375.560000000005;0.022685258153624096;1.0666666666666667;2.4;2;2321.0;2015;2020;False;False;SP;MIRA FILMES LTDA - ME;SP;Fomento Baixo Retorno;2004;True
03838776000173;1;1;1.0;0.0;6764108.11;6764108.11;10489563.56;9912665.0;1.5507681706760894;0.0;0.0;0;0.0;2015;2015;False;True;RJ;HARE FILMES PRODUCOES LTDA - ME;RJ;Retorno Doméstico;2002;True
08587501000128;2;2;1.0;2230516.5;4501275.45;6731791.95;22524834.799999997;21828737.0;3.3460384645428616;40.035;41.6;2;741938.0;2016;2019;False;False;PE;CINEMASCOPIO PRODUCOES CINEMATOGRAFICAS E ARTISTICAS;PE;Duplo Retorno;2006;False
04310171000178;1;1;1.0;3793305.6;2923607.4;6716913.0;498594.04000000004;303686.88;0.07422964090795876;26.96;26.96;1;15276.0;2018;2018;False;False;SP;BITS PRODUÇÕES LTDA;SP;Retorno Internacional;2001;True
04344932000102;2;2;1.0;1794574.95;4760786.25;6555361.2;8018068.24;7431342.8;1.2231314179911246;0.0;0.0;0;373810.0;2015;2020;False;False;SP;INTRO LTDA;SP;Retorno Doméstico;2002;True
12751837000151;1;1;1.0;951687.04;5559726.74;6511413.78;103769.48;20237.84;0.01593655133985357;0.0;0.0;0;1018.0;2018;2018;False;False;MG;CRISTIANO T. AZZI;;Fomento Baixo Retorno;2012;False
52308558000132;1;1;1.0;2025429.26;4388983.08;6414412.34;125836.28;42304.64;0.019617741007276746;0.0;0.0;0;2128.0;2018;2018;False;False;SP;FRANCISCO RAMALHO JUNIOR FILMES LTDA;SP;Fomento Baixo Retorno;1968;True
90130634000151;3;3;1.0;4260597.78;2149686.59;6410284.369999999;583296.26;343486.64;0.09099381967043688;3.1666666666666665;5.7;3;17278.0;2017;2021;False;False;RS;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;RS;Fomento Baixo Retorno;1983;True
71733695000169;1;1;1.0;3865425.82;2500980.33;6366406.15;116802.14;30138.08;0.018346636587111238;0.0;0.0;0;1516.0;2017;2017;False;False;SP;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Fomento Baixo Retorno;1972;True
08267476000103;5;4;0.8;4823948.339999999;1508301.6;6332249.94;541086.1799999999;263290.72000000003;0.08544927713323962;6.2825;10.1;4;13244.0;2016;2023;False;False;RS;OKNA PRODUÇÕES CULTURAIS LTDA;RS;Fomento Baixo Retorno;2007;False
03576269000109;1;1;1.0;743505.5;5568776.0;6312281.5;417.48;417.48;6.613773482694015e-05;0.0;0.0;0;21.0;2018;2018;False;False;PB;CYCLOPEA PRODUÇÕES E EVENTOS LTDA;PB;Fomento Baixo Retorno;2006;False
67942250000111;1;1;1.0;6012605.89;236161.96;6248767.85;10536.4;10536.4;0.001686156415620401;0.0;0.0;0;530.0;2023;2023;False;False;SP;MOONSHOT CREATIVE LAB PRODUÇÕES ARTÍSTICAS LTDA.;SP;Fomento Baixo Retorno;1977;True
13924232000188;1;1;1.0;2936274.0;3290193.0;6226467.0;81012.06;15208.2;0.013010919354426836;1.8;1.8;1;765.0;2022;2022;False;False;SP;;;Fomento Baixo Retorno;2022;False
09551826000113;1;1;1.0;6202224.27;0.0;6202224.27;171359.76;101745.84;0.027628759061303666;2.0;2.0;1;5118.0;2021;2021;True;False;RJ;COPA STUDIO PRODUTORA AUDIOVISUAL LTDA;RJ;Fomento Baixo Retorno;2014;False
14440714000125;3;3;1.0;3011109.51;2998012.2;6009121.71;363737.92000000004;217308.28;0.060530962352566504;9.266666666666666;19.2;2;8392.0;2018;2023;False;False;RJ;BUBBLES PRODUÇÕES ARTÍSTICAS LTDA;RJ;Retorno Internacional;2017;False
00132102000160;1;1;1.0;0.0;5948044.0;5948044.0;3763781.0;3763781.0;0.6327762538407584;10.3;10.3;1;0.0;2016;2016;False;True;SP;SCHÃRMANN PRODUÃÃES CINEMATOGRÃFICAS LTDA;SP;Retorno Doméstico;1995;True
02683477000144;1;1;1.0;4653277.5;1261240.65;5914518.15;651664.72;344580.04;0.11018052586413991;0.0;0.0;0;17333.0;2022;2022;False;False;RJ;LD LABORATÓRIO DE DESENHOS LTDA;RJ;Fomento Baixo Retorno;1994;True
07419227000115;5;4;0.8;117345.38;5752751.42;5870096.8;1394103.62;689895.64;0.23749244135122272;0.925;3.7;1;6329.0;2017;2023;False;False;SP;DIANE PEIXOTO MAIA - ME;SP;Fomento Baixo Retorno;2017;False
35892546000189;1;1;1.0;0.0;5799015.94;5799015.94;2849029.96;2525018.44;0.491295417960172;9.5;9.5;1;0.0;2015;2015;False;True;RJ;1001 FILMES LTDA;RJ;Fomento Baixo Retorno;1979;True
02902219000101;2;2;1.0;1478486.25;4250687.8;5729174.05;757687.84;295874.04000000004;0.1322507980011534;7.51;15.02;1;10044.0;2014;2016;False;False;SP;DRAMA FILMES LTDA.;SP;Retorno Internacional;2002;True
01613170000104;5;5;1.0;1334670.0;4298778.23;5633448.23;567106.48;302076.6;0.10066773614426203;0.0;0.0;0;1849.0;2014;2022;False;False;SP;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;SP;Fomento Baixo Retorno;1997;True
05163327000106;2;1;0.5;5616328.859999999;0.0;5616328.859999999;7594.16;7594.16;0.0013521572880260434;0.0;0.0;0;382.0;2019;2020;True;False;SP;ARUAC PRODUÇÕES LTDA;SP;Fomento Baixo Retorno;2012;False
17227558000107;1;1;1.0;0.0;5610931.18;5610931.18;9319009.0;9121441.0;1.6608667440472866;0.0;0.0;0;0.0;2015;2015;False;True;RJ;PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.;RJ;Retorno Doméstico;2013;False
15830015000154;1;1;1.0;1740242.5;3861740.34;5601982.84;5447.12;5447.12;0.0009723557096793964;0.0;0.0;0;274.0;2021;2021;False;False;RS;PATIO VAZIO PRODUÇÕES CINEMATOGRÁFICAS, ARTÍSTICAS E CULTURAIS LTDA - ME;;Fomento Baixo Retorno;2010;False
04937797000109;4;3;0.75;5356962.159999999;225701.68;5582663.84;207578.8;75066.88;0.0371827510932487;0.0;0.0;0;3776.0;2015;2023;False;False;PR;GP7 CINEMA LTDA;PR;Fomento Baixo Retorno;2006;False
16861733000150;1;1;1.0;0.0;5540932.12;5540932.12;874.72;874.72;0.00015786513551441954;0.0;0.0;0;44.0;2018;2018;False;True;DF;AGRIDOCE FILMES PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;;Fomento Baixo Retorno;2014;False
16487027000190;2;2;1.0;5532245.279999999;0.0;5532245.279999999;102059.8;18528.16;0.018448169745648012;0.0;0.0;0;932.0;2017;2018;True;False;BA;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;BA;Fomento Baixo Retorno;2000;True
08254467000170;4;4;1.0;5341217.5600000005;0.0;5341217.5600000005;455872.98;195161.96000000002;0.08535001146817167;0.0;0.0;0;9817.0;2016;2022;True;False;CE;MARREVOLTO PRODUCOES LTDA - ME;;Fomento Baixo Retorno;2006;False
04551480000130;1;1;1.0;0.0;5291293.7;5291293.7;53936714.3;53578130.76;10.193483363057318;0.0;0.0;0;0.0;2014;2014;False;True;RJ;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;RJ;Retorno Doméstico;2004;True
44154342000131;3;2;0.6666666666666666;3568531.88;1714437.55;5282969.43;124444.68;40913.04;0.02355582057570225;0.0;0.0;0;2058.0;2018;2023;False;False;SP;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;SP;Fomento Baixo Retorno;1972;True
05167381000111;1;1;1.0;0.0;5265055.88;5265055.88;871453.24;136794.28;0.16551642752935036;0.0;0.0;0;0.0;2014;2014;False;True;RJ;FOCUS FILMS LTDA;RJ;Fomento Baixo Retorno;2004;True
04864145000191;1;1;1.0;2680287.84;2535350.63;5215638.47;448410.19999999995;132301.4;0.08597417220906417;0.0;0.0;0;6655.0;2015;2015;False;False;RJ;CINELÂNDIA BRASIL PRODUÇÕES ARTÍSTICAS LTDA;RJ;Fomento Baixo Retorno;2006;False
05500952000198;1;1;1.0;3062826.8;2030406.0;5093232.8;541038.92;123355.4;0.1062270155803599;17.53;17.53;1;6205.0;2021;2021;False;False;RJ;JLM PRODUÇÕES ARTÍSTICAS LTDA;RJ;Retorno Internacional;2005;True
06076085000178;2;1;0.5;4271091.5;814148.7;5085240.199999999;11928.0;11928.0;0.002345611914261199;0.0;0.0;0;600.0;2019;2020;False;False;PE;CEREJA PRODUCAO CINEMATOGRAFICA LTDA;PE;Fomento Baixo Retorno;2004;True
66669599000169;2;2;1.0;3838323.9;1244462.5;5082786.4;318363.3;81289.32;0.06263558507986879;2.05;2.7;2;4089.0;2018;2022;False;False;SP;CASA DE CRIAÇÃO CINEMA E ARTES LTDA;SP;Fomento Baixo Retorno;1994;True
09065789000133;2;2;1.0;4696847.85;314490.0;5011337.85;123212.12;39680.479999999996;0.02458667200017257;6.75;13.5;1;1996.0;2018;2023;False;False;DF;400 FILMES - SERVIÇOS DE PRODUÇÃO LTDA ME;;Retorno Internacional;2001;True
14798449000151;3;3;1.0;4829587.25;144440.1;4974027.35;1480002.26;727150.76;0.2975460639555993;19.466666666666665;33.1;3;36577.0;2017;2022;False;False;RJ;ESQUINA PRODUÇÕES ARTÍSTICAS LTDA ME;RJ;Retorno Internacional;2013;False
33451113000162;2;1;0.5;0.0;4935031.46;4935031.46;467541.48;24989.16;0.09473931094250815;0.0;0.0;0;0.0;2015;2019;False;True;RJ;FILMES DO SERRO LTDA.;RJ;Pequeno Porte;1959;True
09491939000170;1;1;1.0;548365.5;4364989.38;4913354.88;347242.27999999997;40157.6;0.07067315276033959;0.0;0.0;0;2020.0;2022;2022;False;False;SP;KANA FILMES E PRODUÇÕES LTDA.;;Pequeno Porte;2012;False
86777331000158;1;1;1.0;1749188.0;3109983.5;4859171.5;462201.88;240925.72;0.09511948281718396;0.0;0.0;0;12119.0;2015;2015;False;False;RS;M. SCHMIEDT PRODUÇÕES LTDA;RS;Pequeno Porte;1988;True
03247208000106;1;1;1.0;0.0;4814154.69;4814154.69;338617.72;151763.92;0.07033793922396789;0.0;0.0;0;7634.0;2019;2019;False;True;RJ;AA - AFROREGGAE AUDIOVISUAL S.A.;RJ;Pequeno Porte;2014;False
07617370000111;3;3;1.0;3293035.6500000004;1508115.15;4801150.8;437954.48;79460.36;0.09121864699604937;1.3;3.9;1;3997.0;2017;2021;False;False;PE;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;;Pequeno Porte;2010;False
10441993000190;1;1;1.0;2166601.5;2633713.5;4800315.0;163353.56;86736.44;0.03402975846376748;14.76;14.76;1;4363.0;2020;2020;False;False;RJ;SOBRETUDO PRODUÇÃO AUDIOVISUAL E ARTÍSTICA LTDA.;RJ;Retorno Internacional;2007;False
01111024000180;1;1;1.0;3903919.28;835316.4;4739235.68;1073.52;1073.52;0.00022651753837234784;0.0;0.0;0;54.0;2018;2018;False;False;SP;ALBATROZ CINEMATOGRÁFICA LTDA;SP;Pequeno Porte;1999;True
15745495000155;4;4;1.0;4697771.680000001;0.0;4697771.680000001;248499.18;75921.72;0.0528972451040873;2.75;11.0;1;3819.0;2017;2023;True;False;MG;TEMPERO FILMES LTDA;MG;Pequeno Porte;2004;True
