cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
11907529000100;1;1;1.0;1189608.8;0.0;1189608.8;243835.34;157171.28;0.2049710291315935;2.4;2.4;1;7906.0;2017;2017;True;False;RS;CONTAINER FILMES LTDA;;Pequeno Porte;2017;False
06900652000169;1;1;1.0;0.0;1189608.8;1189608.8;128622.56;9661.68;0.10812172875654584;0.0;0.0;0;0.0;2016;2016;False;True;DF;BSB SERVIÇOS CINEGROUP LTDA;DF;Pequeno Porte;2005;True
22327940000122;1;1;1.0;1181733.26;0.0;1181733.26;131965.56;357.84;0.11167119050199197;0.0;0.0;0;18.0;2022;2022;True;False;BA;ATO3 PRODUCOES ARTISTICAS E EDITORIAIS LTDA - ME;;Pequeno Porte;2014;False
11290121000131;1;0;0.0;0.0;1179085.82;1179085.82;0.0;0.0;0.0;;0.0;0;0.0;2015;2015;False;True;RJ;REMAKE FILMES LTDA. - EPP;RJ;Pequeno Porte;2015;False
08465974000152;1;1;1.0;1178736.52;0.0;1178736.52;5248.32;5248.32;0.00445249630511151;0.0;0.0;0;264.0;2016;2016;True;False;SP;KINOOSFERA FILMES E PRODUÇÕES ARTÍSTICAS LTDA.;SP;Pequeno Porte;2005;True
14670660000194;1;1;1.0;0.0;1170423.32;1170423.32;18110.68;18110.68;0.015473615136103064;0.0;0.0;0;0.0;2017;2017;False;True;SP;TVMEIOAMBIENTE PRODUÃÃO E COMUNICAÃÃO LTDA;SP;Pequeno Porte;2017;False
80816838000197;1;1;1.0;1169765.95;0.0;1169765.95;20615.56;20615.56;0.01762366223773226;0.0;0.0;0;1037.0;2019;2019;True;False;PR;LAZ AUDIOVISUAL LTDA.;PR;Pequeno Porte;1991;True
08046502000165;1;0;0.0;0.0;1165375.12;1165375.12;0.0;0.0;0.0;;0.0;0;0.0;2018;2018;False;True;RS;IRENE RULIAN SOARES ME;RS;Pequeno Porte;2018;False
09165924000112;1;0;0.0;0.0;1131254.86;1131254.86;0.0;0.0;0.0;;0.0;0;0.0;2017;2017;False;True;SP;P. G. C. MARTONI DA NOBREGA - PRODUCAO CINEMATOGRAFICA;SP;Pequeno Porte;2008;False
05045517000110;1;1;1.0;0.0;1124203.13;1124203.13;303075.36;198124.08;0.26959127929131455;15.35;15.35;1;0.0;2014;2014;False;True;SP;ALEXANDRE DA S. CARVALHO AUDIOVISUAL;SP;Retorno Internacional;2004;True
11179178000168;1;1;1.0;0.0;1103492.11;1103492.11;310753.8;100851.24;0.28160944440282404;0.0;0.0;0;0.0;2014;2014;False;True;SP;JUBA FILMES PRODUÃÃO LTDA.;SP;Pequeno Porte;2009;False
40426918000111;1;1;1.0;970816.17;128221.07;1099037.24;97666.32;14134.68;0.08886534181498709;0.0;0.0;0;711.0;2018;2018;False;False;RJ;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;RJ;Pequeno Porte;1991;True
09640643000174;2;2;1.0;0.0;1095295.78;1095295.78;500009.57999999996;81925.48;0.4565064424880738;0.0;0.0;0;0.0;2014;2016;False;True;SP;ASK THE RABBIT ENTRETENIMENTO LTDA;SP;Pequeno Porte;2004;True
09207344000140;1;1;1.0;1094640.38;0.0;1094640.38;77692.1;11888.24;0.07097499911340747;0.0;0.0;0;598.0;2022;2022;True;False;MG;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;MG;Pequeno Porte;1987;True
14676949000110;1;0;0.0;1080483.24;0.0;1080483.24;0.0;0.0;0.0;;0.0;0;0.0;2023;2023;True;False;DF;LUMIÔ FILMES LTDA - ME;;Pequeno Porte;2016;False
18641448000150;1;0;0.0;556877.6;521141.92;1078019.52;0.0;0.0;0.0;;0.0;0;0.0;2019;2019;False;False;GO;TUPI FILMES LTDA;;Pequeno Porte;2019;False
14592038000105;3;0;0.0;0.0;1059757.01;1059757.01;0.0;0.0;0.0;;0.0;0;0.0;2014;2018;False;True;SP;MOSAICO FILMES LTDA;SP;Pequeno Porte;2012;False
04483967000122;1;1;1.0;1059227.4;0.0;1059227.4;80316.26;14512.4;0.07582532324975733;0.0;0.0;0;730.0;2022;2022;True;False;MT;G. L. MAGRI BARRADAS;;Pequeno Porte;2022;False
19886089000163;2;2;1.0;0.0;1053020.69;1053020.69;185423.78;15228.08;0.17608749928740716;0.0;0.0;0;0.0;2017;2018;False;True;SP;EXÓTICA CINEMATOGRÁFICA - EIRELI;SP;Pequeno Porte;2017;False
13538544000153;1;1;1.0;0.0;1049512.8;1049512.8;2759214.36;2549311.8;2.629043075987258;0.0;0.0;0;0.0;2014;2014;False;True;RJ;PATOTA PRODUÃÃES ARTISTICAS LTDA - ME;RJ;Retorno Doméstico;2014;False
02758386000120;1;0;0.0;0.0;1048604.18;1048604.18;0.0;0.0;0.0;;0.0;0;0.0;2014;2014;False;True;RJ;PROPÃCIA PRODUÃÃES LTDA;RJ;Pequeno Porte;1971;True
07832283000187;1;1;1.0;0.0;1030927.14;1030927.14;390591.45999999996;237049.12;0.3788739716368316;0.8;0.8;1;11924.0;2022;2022;False;True;RJ;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;RJ;Pequeno Porte;2004;True
02229175000109;1;0;0.0;0.0;1021561.6;1021561.6;0.0;0.0;0.0;;0.0;0;0.0;2020;2020;False;True;BA;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;BA;Pequeno Porte;1996;True
18677618000156;1;0;0.0;0.0;1021004.16;1021004.16;0.0;0.0;0.0;;0.0;0;0.0;2021;2021;False;True;SP;CANELA PRODUÃÃES ARTÃSTICAS LTDA.;SP;Pequeno Porte;2021;False
