cpb;titulo;ano;categoria;cat_nova;chamada;tem_complementacao;tem_comercializacao;cnpj_produtora;uf;tipo_obra;segmento_destinacao_inicial;instrumento;inv_fsa;inv_renuncia;inv_total;bilheteria_obs;renda_pmi_estimada;janelas_crt;receita_ref;publico_domestico;sessoes_total;n_municipios;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;critica_indice_1_5;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;universo_aplicacao;universo_retorno;retorno_dom;retorno_intl;tem_intl
B1700052000000;FILHOS DE BACH;2014;Renúncia — Art.3/3-A/39;;;;;09180984000104;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;8072502.62;8072502.62;65544.36;0.0;104951.28;170495.64;;;;0.9;4.5;0;0;0;0;3.993;2;media;0.0;;;True;True;0.02112054316062892;0.9;True
B1402621800000;GRANDE HOTEL;2014;Renúncia — Outros Mecanismos;;;;;14592038000105;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;384821.36;384821.36;0.0;0.0;104951.28;104951.28;;;;0.0;0.0;0;0;0;0;4.4;1;baixa;0.0;;;True;False;;;False
B1402094700000;HOJE EU QUERO VOLTAR SOZINHO;2014;Renúncia — Outros Mecanismos;;;;;08677301000166;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;3288473.44;3288473.44;4073133.68;0.0;358583.54;4431717.22;;;;14.26;0.0;36402;0;0;0;3.965;2;alta;0.0;;;True;True;1.3476518210832804;14.26;True
B1402185500000;INVASORES;2014;Renúncia — Art.3/3-A/39;;;;;44154342000131;SP;FICÇÃO;INDEFINIDO;sem inv.;0.0;0.0;0.0;9164.68;0.0;104951.28;114115.95999999999;;;;0.0;0.0;0;0;0;0;3.89;2;alta;0.0;;;False;False;;;False
B1402233800000;ISOLADOS;2014;Renúncia — Art.3/3-A/39;;;;;13110657000153;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;437297.0;437297.0;1661610.16;0.0;603469.86;2265080.02;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;5.179729154327608;0.0;False
B1402107400000;JOGO DE XADREZ;2014;Renúncia — Outros Mecanismos;;;;;05865587000115;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;489772.64;489772.64;10357.48;0.0;218648.5;229005.98;;;;0.0;0.0;0;0;0;0;4.4;1;baixa;0.0;;;True;True;0.4675760981666922;0.0;False
B1402115000000;JULIO SUMIU;2014;Renúncia — Art.3/3-A/39;;;;;03360320000140;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;4373056.3;4373056.3;3531721.76;0.0;743404.9;4275126.66;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.977606133266567;0.0;False
B1402243500000;LASCADOS;2014;Renúncia — Art.3/3-A/39;;;;;15479865000150;SP;FICÇÃO;INDEFINIDO;sem inv.;0.0;0.0;0.0;103177.2;0.0;209902.56;313079.76;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;False;False;;;False
B1402543500000;MADE IN CHINA;2014;Renúncia — Art.3/3-A/39;;;;;04453786000153;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;8050704.24;8050704.24;7501002.32;0.0;253632.26;7754634.58;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.9632243774986821;0.0;False
B1600012600000;MAR ME QUER;2014;Renúncia — Outros Mecanismos;;;;;07966825000104;RJ;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;813736.25;813736.25;0.0;0.0;104951.28;104951.28;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;False;;;False
B1402261200000;MENINOS DA VILA - A MAGIA DO SANTOS;2014;Renúncia — Outros Mecanismos;;;;;01613170000104;SP;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;699675.2;699675.2;695.8;0.0;8745.94;9441.74;;;;0.0;0.0;0;0;0;0;3.965;2;alta;0.0;;;True;True;0.013494461430103568;0.0;False
B1500437700000;MEU PASSADO ME CONDENA 2;2014;Renúncia — Art.3/3-A/39;;;;;04551480000130;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;5291293.7;5291293.7;53578130.76;0.0;358583.54;53936714.3;;;;0.0;0.0;0;0;0;0;3.7;1;baixa;0.0;;;True;True;10.193483363057318;0.0;False
B1402825200000;MULHERES NO PODER;2014;Renúncia — Outros Mecanismos;;;;;04486752000165;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1363820.89;1363820.89;155501.36;0.0;594723.92;750225.28;;;;0.0;0.0;0;0;0;0;4.3;1;baixa;0.0;;;True;True;0.5500907674174137;0.0;False
B1402254000000;MY NAME IS NOW, ELZA SOARES;2014;Renúncia — Outros Mecanismos;;;;;10957732000128;MG;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;1577431.73;1577431.73;56379.68;0.0;218648.5;275028.18;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.17435187512045291;0.0;False
