cnpj;n_obras;fsa_mi;receita_crt_mi;pub_por_mi_fsa;tem_intl;pct_sala;tipo;s16_perfil;uf
09325623000109;1;2.20213339;1.08747682;23337.36922267002;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
09355997000177;1;0.19033741;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
09369796000129;2;3.3021504299999997;0.18582509999999997;343.41258038931926;False;100.0;Pequeno Porte de Sala;Campeãs de público;
09397798000121;1;0.47334596;0.27346746;6937.843094720825;True;100.0;Vitrine Internacional;Prestígio internacional;
09409976000197;2;2.6156162099999998;0.42759401999999996;4900.948369638679;True;100.0;Vitrine Internacional;Emergentes / micro;
09437566000150;8;13.449292400000001;0.96509618;1359.253666014429;True;87.5;Vitrine Internacional;Comerciais de sala;
09491939000170;1;0.5483655;0.34724227999999996;3683.674483533337;False;100.0;Pequeno Porte de Sala;;
09505106000111;1;0.3480485;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
09506070000190;1;4.176582;43.10357912;516879.35254234204;True;100.0;Duplo Motor;Emergentes / micro;
09551826000113;1;6.202224269999999;0.17135976;825.1878321710544;True;100.0;Vitrine Internacional;Emergentes / micro;
09558964000124;3;6.84790676;4.91134022;31858.78658195983;False;100.0;Campeã Doméstica;Campeãs de público;
09942024000134;1;0.48835197999999996;0.0;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
10306335000196;1;0.16610539000000002;0.07661712;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10387192000194;1;1.3993503999999999;0.35361564;5893.448845978821;False;100.0;Pequeno Porte de Sala;;
10407637000150;2;1.71371628;0.09812728;631.3763909624527;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
10433648000105;1;3.30243757;0.0;0.0;False;0.0;Independente fora da sala;Produção para TV/VoD;
10441993000190;1;2.1666015;0.16335356;2013.7528751826305;True;100.0;Vitrine Internacional;Emergentes / micro;
10468552000182;1;0.64131404;0.2487765;3184.087471404805;True;100.0;Vitrine Internacional;Prestígio internacional;
10473332000147;1;1.7402425;0.07715388;15.515079076622943;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
10505568000118;3;4.67167963;0.1588822;171.24461935759922;False;66.66666666666666;Pequeno Porte de Sala;Produção para TV/VoD;
10519798000136;1;0.290058;0.01057616;1834.115935433603;False;100.0;Pequeno Porte de Sala;Comerciais de sala;
10551469000172;1;0.11602319999999999;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10615584000163;1;0.2335515;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10645895000175;4;15.35072132;31.71401321;98793.20771878882;True;100.0;Duplo Motor;Comerciais de sala;
10679333000142;1;0.062284599999999996;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10696683000117;1;0.06740586;0.16016039999999998;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10773468000172;2;0.78960587;0.0029422399999999996;187.4352833775159;False;50.0;Pequeno Porte de Sala;Produção para TV/VoD;
