p;L
1.213483146067415863e-01;5.950922870274605835e-03
1.235955056179775385e-01;6.158230291768105984e-03
1.258426966292134908e-01;6.366882351230951365e-03
1.280898876404494569e-01;6.578688158946794165e-03
1.303370786516853952e-01;6.790493966662636098e-03
1.325842696629213613e-01;7.005121986420974854e-03
1.348314606741573274e-01;7.220805025693471935e-03
1.370786516853932657e-01;7.438246966855574689e-03
1.393258426966292318e-01;7.658780762364279793e-03
1.415730337078651702e-01;7.882160953923076849e-03
1.438202247191011363e-01;8.106039396788684154e-03
1.460674157303371024e-01;8.334723506608516033e-03
1.483146067415730407e-01;8.567442539864592033e-03
1.505617977528090068e-01;8.803006923907039788e-03
1.528089887640449451e-01;9.040227371970079376e-03
1.550561797752809112e-01;9.278702949479347359e-03
1.573033707865168773e-01;9.523762750363920157e-03
1.595505617977528157e-01;9.777543418740635567e-03
1.617977528089887818e-01;1.003251608978202210e-02
1.640449438202247201e-01;1.029082462617829374e-02
1.662921348314606862e-01;1.054995890304516980e-02
1.685393258426966523e-01;1.081187394769476083e-02
1.707865168539325906e-01;1.107499330589283015e-02
1.730337078651685567e-01;1.134020747979119781e-02
1.752808988764045228e-01;1.160648149749781387e-02
1.775280898876404612e-01;1.187595890008328464e-02
1.797752808988764273e-01;1.215680197325518137e-02
1.820224719101123656e-01;1.244724629398732789e-02
1.842696629213483317e-01;1.273887900809745830e-02
1.865168539325842978e-01;1.303051172220758697e-02
1.887640449438202361e-01;1.332860619409416934e-02
1.910112359550562022e-01;1.362670066598075345e-02
1.932584269662921406e-01;1.392878461466647705e-02
1.955056179775281067e-01;1.423514865026698391e-02
1.977528089887640728e-01;1.454609093202477270e-02
2.000000000000000111e-01;1.485703321378256322e-02
2.022471910112359772e-01;1.516797549554035202e-02
2.044943820224719155e-01;1.547891777729814254e-02
2.067415730337078816e-01;1.578987890953839276e-02
2.089887640449438477e-01;1.610501482507410015e-02
2.112359550561797861e-01;1.642854057218861435e-02
2.134831460674157522e-01;1.675320935538278377e-02
2.157303370786516905e-01;1.708449178121233467e-02
2.179775280898876566e-01;1.741661115059543047e-02
2.202247191011236227e-01;1.775186749040874590e-02
2.224719101123595610e-01;1.809838670760886489e-02
2.247191011235955271e-01;1.845610007387276513e-02
2.269662921348314932e-01;1.881381344013666190e-02
2.292134831460674316e-01;1.917942967016039377e-02
2.314606741573033977e-01;1.955256040826974448e-02
2.337078651685393360e-01;1.993345615146837474e-02
2.359550561797753021e-01;2.032666028592183469e-02
2.382022471910112682e-01;2.072014498881212183e-02
2.404494382022472065e-01;2.111486639949231719e-02
2.426966292134831726e-01;2.151415106528260096e-02
2.449438202247191110e-01;2.192415258770751343e-02
2.471910112359550771e-01;2.233459639962779436e-02
2.494382022471910432e-01;2.275747790281838767e-02
2.516853932584269815e-01;2.319103604232509996e-02
2.539325842696629199e-01;2.362666618040784247e-02
2.561797752808989137e-01;2.406295387870889535e-02
2.584269662921348520e-01;2.450577971050894519e-02
2.606741573033707904e-01;2.494913444575103112e-02
2.629213483146067842e-01;2.540077802401564597e-02
2.651685393258427226e-01;2.586058067179177258e-02
2.674157303370786609e-01;2.632554778892810809e-02
2.696629213483146548e-01;2.679063473616930327e-02
2.719101123595505931e-01;2.725704815880598819e-02
2.741573033707865314e-01;2.772446029072414900e-02
2.764044943820224698e-01;2.819272762704237018e-02
2.786516853932584636e-01;2.866099683947496632e-02
2.808988764044944020e-01;2.913863314252689712e-02
2.831460674157303403e-01;2.961916470100739440e-02
2.853932584269663342e-01;3.010906774557518123e-02
2.876404494382022725e-01;3.060657539638764538e-02
2.898876404494382109e-01;3.110408304720010605e-02
2.921348314606742047e-01;3.160159069801257020e-02
2.943820224719101430e-01;3.209909834882503088e-02
2.966292134831460814e-01;3.259660599963749156e-02
2.988764044943820752e-01;3.309633888290048481e-02
3.011235955056180136e-01;3.359697889426214307e-02
3.033707865168539519e-01;3.410133161981811906e-02
3.056179775280898903e-01;3.460713794091885287e-02
3.078651685393258841e-01;3.511723710651206559e-02
3.101123595505618225e-01;3.563340119595734268e-02
3.123595505617977608e-01;3.615416436536326300e-02
3.146067415730337546e-01;3.672260416607756733e-02
3.168539325842696930e-01;3.729554630178826685e-02
3.191011235955056313e-01;3.786977885576307823e-02
3.213483146067416252e-01;3.846596779953623951e-02
